Date(UTC),UnixTimeStamp,Fee (FTM*10^18),Fee In FTM,FTM Price,Fee in USD,Month,Year,,,,,,,,,
6/4/21,1622764800,4.72584E+21,4725.839319,0.34," $1,606.79 ",June,2021,,,,,,,,,
6/5/21,1622851200,3.70534E+21,3705.341752,0.31," $1,148.66 ",June,2021,,,,,,,,,
6/6/21,1622937600,3.33811E+21,3338.112044,0.34," $1,134.96 ",June,2021,,,,,,,,,
6/7/21,1623024000,3.64136E+21,3641.35969,0.3," $1,092.41 ",June,2021,,,,,,,,,
6/8/21,1623110400,3.8724E+21,3872.402903,0.29," $1,123.00 ",June,2021,,,,,,,,,
6/9/21,1623196800,3.76871E+21,3768.708657,0.31," $1,168.30 ",June,2021,,,,,,,,,
6/10/21,1623283200,4.01119E+21,4011.188923,0.28," $1,123.13 ",June,2021,,,,,,,,,
6/11/21,1623369600,4.61986E+21,4619.861976,0.25," $1,154.97 ",June,2021,,,,,,,,,
6/12/21,1623456000,4.66285E+21,4662.854627,0.24," $1,119.09 ",June,2021,,,,,,,,,
6/13/21,1623542400,5.92753E+21,5927.530817,0.28," $1,659.71 ",June,2021,,,,,,,,,
6/14/21,1623628800,5.15943E+21,5159.426632,0.3," $1,547.83 ",June,2021,,,,,,,,,
6/15/21,1623715200,4.78932E+21,4789.318901,0.29," $1,388.90 ",June,2021,,,,,,,,,
6/16/21,1623801600,4.98923E+21,4989.232741,0.28," $1,396.99 ",June,2021,,,,,,,,,
6/17/21,1623888000,6.3446E+21,6344.598353,0.32," $2,030.27 ",June,2021,,,,,,,,,
6/18/21,1623974400,6.3969E+21,6396.896673,0.3," $1,919.07 ",June,2021,,,,,,,,,
6/19/21,1624060800,4.99146E+21,4991.461396,0.31," $1,547.35 ",June,2021,,,,,,,,,
6/20/21,1624147200,4.53064E+21,4530.640552,0.31," $1,404.50 ",June,2021,,,,,,,,,
6/21/21,1624233600,6.06568E+21,6065.681551,0.24," $1,455.76 ",June,2021,,,,,,,,,
6/22/21,1624320000,8.56745E+21,8567.447392,0.22," $1,884.84 ",June,2021,,,,,,,,,
6/23/21,1624406400,4.85733E+21,4857.334596,0.25," $1,214.33 ",June,2021,,,,,,,,,
6/24/21,1624492800,3.8943E+21,3894.303842,0.24, $934.63 ,June,2021,,,,,,,,,
6/25/21,1624579200,4.70818E+21,4708.179976,0.21, $988.72 ,June,2021,,,,,,,,,
6/26/21,1624665600,4.39191E+21,4391.912733,0.21, $922.30 ,June,2021,,,,,,,,,
6/27/21,1624752000,3.29869E+21,3298.691171,0.22, $725.71 ,June,2021,,,,,,,,,
6/28/21,1624838400,3.49492E+21,3494.918075,0.23, $803.83 ,June,2021,,,,,,,,,
6/29/21,1624924800,3.71443E+21,3714.426141,0.23, $854.32 ,June,2021,,,,,,,,,
6/30/21,1625011200,3.59329E+21,3593.293625,0.24, $862.39 ,June,2021,,,,,,,,,
7/1/21,1625097600,5.58248E+21,5582.483539,0.22," $1,228.15 ",July,2021,,,,,,,,,
7/2/21,1625184000,4.14459E+21,4144.592941,0.23, $953.26 ,July,2021,,,,,,,,,
7/3/21,1625270400,3.79701E+21,3797.014243,0.23, $873.31 ,July,2021,,,,,,,,,
7/4/21,1625356800,4.05261E+21,4052.60784,0.24, $972.63 ,July,2021,,,,,,,,,
7/5/21,1625443200,3.33658E+21,3336.584159,0.23, $767.41 ,July,2021,,,,,,,,,
7/6/21,1625529600,4.6351E+21,4635.096016,0.25," $1,158.77 ",July,2021,,,,,,,,,
7/7/21,1625616000,4.8196E+21,4819.595961,0.26," $1,253.09 ",July,2021,,,,,,,,,
7/8/21,1625702400,4.29895E+21,4298.951948,0.24," $1,031.75 ",July,2021,,,,,,,,,
7/9/21,1625788800,6.23485E+21,6234.845763,0.23," $1,434.01 ",July,2021,,,,,,,,,
7/10/21,1625875200,3.81547E+21,3815.471742,0.23, $877.56 ,July,2021,,,,,,,,,
7/11/21,1625961600,3.77804E+21,3778.035345,0.23, $868.95 ,July,2021,,,,,,,,,
7/12/21,1626048000,4.53454E+21,4534.539245,0.22, $997.60 ,July,2021,,,,,,,,,
7/13/21,1626134400,4.43387E+21,4433.86903,0.22, $975.45 ,July,2021,,,,,,,,,
7/14/21,1626220800,4.56137E+21,4561.369012,0.22," $1,003.50 ",July,2021,,,,,,,,,
7/15/21,1626307200,5.01956E+21,5019.560589,0.21," $1,054.11 ",July,2021,,,,,,,,,
7/16/21,1626393600,5.10824E+21,5108.242035,0.19, $970.57 ,July,2021,,,,,,,,,
7/17/21,1626480000,4.48204E+21,4482.040284,0.2, $896.41 ,July,2021,,,,,,,,,
7/18/21,1626566400,4.47966E+21,4479.663894,0.19, $851.14 ,July,2021,,,,,,,,,
7/19/21,1626652800,6.0265E+21,6026.499751,0.17," $1,024.50 ",July,2021,,,,,,,,,
7/20/21,1626739200,7.59205E+21,7592.046394,0.16," $1,214.73 ",July,2021,,,,,,,,,
7/21/21,1626825600,9.35631E+21,9356.309966,0.18," $1,684.14 ",July,2021,,,,,,,,,
7/22/21,1626912000,5.08998E+21,5089.984355,0.19, $967.10 ,July,2021,,,,,,,,,
7/23/21,1626998400,5.05774E+21,5057.743602,0.19, $960.97 ,July,2021,,,,,,,,,
7/24/21,1627084800,4.68525E+21,4685.250872,0.19, $890.20 ,July,2021,,,,,,,,,
7/25/21,1627171200,5.53827E+21,5538.266237,0.2," $1,107.65 ",July,2021,,,,,,,,,
7/26/21,1627257600,1.00348E+22,10034.82085,0.21," $2,107.31 ",July,2021,,,,,,,,,
7/27/21,1627344000,1.29746E+22,12974.61447,0.22," $2,854.42 ",July,2021,,,,,,,,,
7/28/21,1627430400,9.36156E+21,9361.55794,0.23," $2,153.16 ",July,2021,,,,,,,,,
7/29/21,1627516800,9.92045E+21,9920.449778,0.25," $2,480.11 ",July,2021,,,,,,,,,
7/30/21,1627603200,5.59815E+21,5598.151724,0.25," $1,399.54 ",July,2021,,,,,,,,,
7/31/21,1627689600,4.19153E+21,4191.528809,0.26," $1,089.80 ",July,2021,,,,,,,,,
8/1/21,1627776000,4.28301E+21,4283.005214,0.25," $1,070.75 ",August,2021,,,,,,,,,
8/2/21,1627862400,4.6824E+21,4682.400417,0.25," $1,170.60 ",August,2021,,,,,,,,,
8/3/21,1627948800,5.60776E+21,5607.755219,0.24," $1,345.86 ",August,2021,,,,,,,,,
8/4/21,1628035200,8.05038E+21,8050.377097,0.25," $2,012.59 ",August,2021,,,,,,,,,
8/5/21,1628121600,5.96332E+21,5963.315306,0.26," $1,550.46 ",August,2021,,,,,,,,,
8/6/21,1628208000,4.79901E+21,4799.014853,0.28," $1,343.72 ",August,2021,,,,,,,,,
8/7/21,1628294400,4.25E+21,4249.996162,0.29," $1,232.50 ",August,2021,,,,,,,,,
8/8/21,1628380800,4.02036E+21,4020.357897,0.27," $1,085.50 ",August,2021,,,,,,,,,
8/9/21,1628467200,4.12631E+21,4126.314099,0.28," $1,155.37 ",August,2021,,,,,,,,,
8/10/21,1628553600,3.81461E+21,3814.614187,0.3," $1,144.38 ",August,2021,,,,,,,,,
8/11/21,1628640000,4.54911E+21,4549.111462,0.32," $1,455.72 ",August,2021,,,,,,,,,
8/12/21,1628726400,4.40463E+21,4404.625241,0.31," $1,365.43 ",August,2021,,,,,,,,,
8/13/21,1628812800,5.4408E+21,5440.795497,0.35," $1,904.28 ",August,2021,,,,,,,,,
8/14/21,1628899200,4.43046E+21,4430.459825,0.34," $1,506.36 ",August,2021,,,,,,,,,
8/15/21,1628985600,3.4089E+21,3408.904186,0.35," $1,193.12 ",August,2021,,,,,,,,,
8/16/21,1629072000,8.20033E+21,8200.332095,0.4," $3,280.13 ",August,2021,,,,,,,,,
8/17/21,1629158400,1.01445E+22,10144.46708,0.39," $3,956.34 ",August,2021,,,,,,,,,
8/18/21,1629244800,8.07159E+21,8071.58586,0.41," $3,309.35 ",August,2021,,,,,,,,,
8/19/21,1629331200,8.77337E+21,8773.366739,0.5," $4,386.68 ",August,2021,,,,,,,,,
8/20/21,1629417600,5.57381E+21,5573.810774,0.49," $2,731.17 ",August,2021,,,,,,,,,
8/21/21,1629504000,8.09475E+21,8094.751726,0.57," $4,614.01 ",August,2021,,,,,,,,,
8/22/21,1629590400,6.55183E+21,6551.831377,0.56," $3,669.03 ",August,2021,,,,,,,,,
8/23/21,1629676800,7.30839E+21,7308.392632,0.55," $4,019.62 ",August,2021,,,,,,,,,
8/24/21,1629763200,6.93305E+21,6933.049475,0.48," $3,327.86 ",August,2021,,,,,,,,,
8/25/21,1629849600,7.76779E+21,7767.78962,0.5," $3,883.89 ",August,2021,,,,,,,,,
8/26/21,1629936000,6.08147E+21,6081.466074,0.43," $2,615.03 ",August,2021,,,,,,,,,
8/27/21,1630022400,5.39813E+21,5398.128414,0.49," $2,645.08 ",August,2021,,,,,,,,,
8/28/21,1630108800,5.58085E+21,5580.847488,0.52," $2,902.04 ",August,2021,,,,,,,,,
8/29/21,1630195200,6.17266E+21,6172.658864,0.59," $3,641.87 ",August,2021,,,,,,,,,
8/30/21,1630281600,6.75881E+22,67588.13961,0.79," $53,394.63 ",August,2021,,,,,,,,,
8/31/21,1630368000,2.71859E+22,27185.8562,0.72," $19,573.82 ",August,2021,,,,,,,,,
9/1/21,1630454400,2.40596E+22,24059.59297,0.87," $20,931.85 ",September,2021,,,,,,,,,
9/2/21,1630540800,1.34818E+22,13481.83612,0.85," $11,459.56 ",September,2021,,,,,,,,,
9/3/21,1630627200,1.63972E+22,16397.15288,0.98," $16,069.21 ",September,2021,,,,,,,,,
9/4/21,1630713600,2.28305E+22,22830.52849,1.07," $24,428.67 ",September,2021,,,,,,,,,
9/5/21,1630800000,1.61932E+22,16193.15528,1.21," $19,593.72 ",September,2021,,,,,,,,,
9/6/21,1630886400,2.50167E+22,25016.66612,1.39," $34,773.17 ",September,2021,,,,,,,,,
9/7/21,1630972800,6.98773E+22,69877.34342,1.41," $98,527.05 ",September,2021,,,,,,,,,
9/8/21,1631059200,5.0316E+22,50315.95838,1.58," $79,499.21 ",September,2021,,,,,,,,,
9/9/21,1631145600,3.73136E+22,37313.63989,1.66," $61,940.64 ",September,2021,,,,,,,,,
9/10/21,1631232000,2.49857E+22,24985.74462,1.49," $37,228.76 ",September,2021,,,,,,,,,
9/11/21,1631318400,2.35112E+22,23511.23765,1.55," $36,442.42 ",September,2021,,,,,,,,,
9/12/21,1631404800,2.7258E+22,27257.95367,1.44," $39,251.45 ",September,2021,,,,,,,,,
9/13/21,1631491200,3.15542E+22,31554.22914,1.31," $41,336.04 ",September,2021,,,,,,,,,
9/14/21,1631577600,3.09359E+22,30935.90529,1.21," $37,432.45 ",September,2021,,,,,,,,,
9/15/21,1631664000,4.04388E+22,40438.84549,1.44," $58,231.94 ",September,2021,,,,,,,,,
9/16/21,1631750400,3.20178E+22,32017.81788,1.31," $41,943.34 ",September,2021,,,,,,,,,
9/17/21,1631836800,2.93684E+22,29368.40924,1.25," $36,710.51 ",September,2021,,,,,,,,,
9/18/21,1631923200,2.80672E+22,28067.15585,1.33," $37,329.32 ",September,2021,,,,,,,,,
9/19/21,1632009600,3.46686E+22,34668.64103,1.46," $50,616.22 ",September,2021,,,,,,,,,
9/20/21,1632096000,4.29164E+22,42916.37472,1.15," $49,353.83 ",September,2021,,,,,,,,,
9/21/21,1632182400,4.07553E+22,40755.3146,0.98," $39,940.21 ",September,2021,,,,,,,,,
9/22/21,1632268800,4.79577E+22,47957.70297,1.25," $59,947.13 ",September,2021,,,,,,,,,
9/23/21,1632355200,3.58312E+22,35831.17565,1.26," $45,147.28 ",September,2021,,,,,,,,,
9/24/21,1632441600,4.73393E+22,47339.34945,1.2," $56,807.22 ",September,2021,,,,,,,,,
9/25/21,1632528000,3.3836E+22,33836.04548,1.24," $41,956.70 ",September,2021,,,,,,,,,
9/26/21,1632614400,3.23178E+22,32317.7523,1.18," $38,134.95 ",September,2021,,,,,,,,,
9/27/21,1632700800,4.08131E+22,40813.12174,1.28," $52,240.80 ",September,2021,,,,,,,,,
9/28/21,1632787200,4.41622E+22,44162.156,1.17," $51,669.72 ",September,2021,,,,,,,,,
9/29/21,1632873600,2.8094E+22,28094.03236,1.2," $33,712.84 ",September,2021,,,,,,,,,
9/30/21,1632960000,2.36063E+22,23606.25986,1.21," $28,563.57 ",September,2021,,,,,,,,,
10/1/21,1633046400,2.53707E+22,25370.67008,1.42," $36,026.35 ",October,2021,,,,,,,,,
10/2/21,1633132800,2.22597E+22,22259.66319,1.46," $32,499.11 ",October,2021,,,,,,,,,
10/3/21,1633219200,2.38889E+22,23888.89597,1.47," $35,116.68 ",October,2021,,,,,,,,,
10/4/21,1633305600,3.72325E+22,37232.49022,1.4," $52,125.49 ",October,2021,,,,,,,,,
10/5/21,1633392000,3.24082E+22,32408.20229,1.41," $45,695.57 ",October,2021,,,,,,,,,
10/6/21,1633478400,9.38592E+22,93859.20748,1.61," $151,113.32 ",October,2021,,,,,,,,,
10/7/21,1633564800,1.54279E+23,154279.3469,2.02," $311,644.28 ",October,2021,,,,,,,,,
10/8/21,1633651200,7.96357E+22,79635.73267,2.3," $183,162.19 ",October,2021,,,,,,,,,
10/9/21,1633737600,4.20355E+22,42035.53029,2.16," $90,796.75 ",October,2021,,,,,,,,,
10/10/21,1633824000,4.82781E+22,48278.05241,2.03," $98,004.45 ",October,2021,,,,,,,,,
10/11/21,1633910400,5.28847E+22,52884.67618,2.34," $123,750.14 ",October,2021,,,,,,,,,
10/12/21,1633996800,4.19687E+22,41968.67234,2.09," $87,714.53 ",October,2021,,,,,,,,,
10/13/21,1634083200,2.82216E+22,28221.60997,2.01," $56,725.44 ",October,2021,,,,,,,,,
10/14/21,1634169600,2.67225E+22,26722.47055,2.03," $54,246.62 ",October,2021,,,,,,,,,
10/15/21,1634256000,3.02679E+22,30267.86802,1.93," $58,416.99 ",October,2021,,,,,,,,,
10/16/21,1634342400,1.91939E+22,19193.93443,2.14," $41,075.02 ",October,2021,,,,,,,,,
10/17/21,1634428800,2.89291E+22,28929.12192,2.3," $66,536.98 ",October,2021,,,,,,,,,
10/18/21,1634515200,2.09061E+22,20906.06845,2.22," $46,411.47 ",October,2021,,,,,,,,,
10/19/21,1634601600,3.61036E+22,36103.58312,2.35," $84,843.42 ",October,2021,,,,,,,,,
10/20/21,1634688000,2.53207E+22,25320.71017,2.43," $61,529.33 ",October,2021,,,,,,,,,
10/21/21,1634774400,2.75807E+22,27580.73729,2.22," $61,229.24 ",October,2021,,,,,,,,,
10/22/21,1634860800,4.02194E+22,40219.44885,2.62," $105,374.96 ",October,2021,,,,,,,,,
10/23/21,1634947200,2.75181E+22,27518.13506,2.55," $70,171.24 ",October,2021,,,,,,,,,
10/24/21,1635033600,3.10812E+22,31081.18757,2.7," $83,919.21 ",October,2021,,,,,,,,,
10/25/21,1635120000,2.78571E+22,27857.13196,3.04," $84,685.68 ",October,2021,,,,,,,,,
10/26/21,1635206400,8.56129E+22,85612.90105,3.14," $268,824.51 ",October,2021,,,,,,,,,
10/27/21,1635292800,7.28209E+22,72820.8593,3.1," $225,744.66 ",October,2021,,,,,,,,,
10/28/21,1635379200,4.65546E+22,46554.61466,2.92," $135,939.47 ",October,2021,,,,,,,,,
10/29/21,1635465600,2.08539E+22,20853.86462,2.88," $60,059.13 ",October,2021,,,,,,,,,
10/30/21,1635552000,3.1214E+22,31213.95869,2.67," $83,341.27 ",October,2021,,,,,,,,,
10/31/21,1635638400,2.11439E+22,21143.86039,2.87," $60,682.88 ",October,2021,,,,,,,,,
11/1/21,1635724800,2.92148E+22,29214.79504,2.7," $78,879.95 ",November,2021,,,,,,,,,
11/2/21,1635811200,4.34207E+22,43420.69178,2.73," $118,538.49 ",November,2021,,,,,,,,,
11/3/21,1635897600,3.38677E+22,33867.67882,2.68," $90,765.38 ",November,2021,,,,,,,,,
11/4/21,1635984000,3.28073E+22,32807.31124,2.77," $90,876.25 ",November,2021,,,,,,,,,
11/5/21,1636070400,3.38166E+22,33816.64613,2.66," $89,952.28 ",November,2021,,,,,,,,,
11/6/21,1636156800,2.1428E+22,21427.99156,2.77," $59,355.54 ",November,2021,,,,,,,,,
11/7/21,1636243200,2.48595E+22,24859.51064,2.87," $71,346.80 ",November,2021,,,,,,,,,
11/8/21,1636329600,2.9496E+22,29496.03528,3.16," $93,207.47 ",November,2021,,,,,,,,,
11/9/21,1636416000,2.30989E+22,23098.85848,2.87," $66,293.72 ",November,2021,,,,,,,,,
11/10/21,1636502400,4.24122E+22,42412.1782,2.64," $111,968.15 ",November,2021,,,,,,,,,
11/11/21,1636588800,3.09672E+22,30967.24689,2.6," $80,514.84 ",November,2021,,,,,,,,,
11/12/21,1636675200,2.39062E+22,23906.21114,2.63," $62,873.34 ",November,2021,,,,,,,,,
11/13/21,1636761600,2.04595E+22,20459.53106,2.62," $53,603.97 ",November,2021,,,,,,,,,
11/14/21,1636848000,1.58862E+22,15886.17257,2.59," $41,145.19 ",November,2021,,,,,,,,,
11/15/21,1636934400,2.54306E+22,25430.58928,2.47," $62,813.56 ",November,2021,,,,,,,,,
11/16/21,1637020800,4.87993E+22,48799.30222,2.2," $107,358.46 ",November,2021,,,,,,,,,
11/17/21,1637107200,3.07775E+22,30777.46275,2.15," $66,171.54 ",November,2021,,,,,,,,,
11/18/21,1637193600,7.01946E+22,70194.5642,1.85," $129,859.94 ",November,2021,,,,,,,,,
11/19/21,1637280000,3.36273E+22,33627.3428,2.26," $75,997.79 ",November,2021,,,,,,,,,
11/20/21,1637366400,2.72016E+22,27201.57182,2.18," $59,299.43 ",November,2021,,,,,,,,,
11/21/21,1637452800,2.38907E+22,23890.73756,2.08," $49,692.73 ",November,2021,,,,,,,,,
11/22/21,1637539200,3.11075E+22,31107.53375,1.95," $60,659.69 ",November,2021,,,,,,,,,
11/23/21,1637625600,5.69912E+22,56991.16114,2.32," $132,219.49 ",November,2021,,,,,,,,,
11/24/21,1637712000,5.25528E+22,52552.83732,2.59," $136,111.85 ",November,2021,,,,,,,,,
11/25/21,1637798400,3.60916E+22,36091.58424,2.47," $89,146.21 ",November,2021,,,,,,,,,
11/26/21,1637884800,4.63804E+22,46380.44933,2.12," $98,326.55 ",November,2021,,,,,,,,,
11/27/21,1637971200,2.60359E+22,26035.86876,2.08," $54,154.61 ",November,2021,,,,,,,,,
11/28/21,1638057600,3.27531E+22,32753.14731,2.12," $69,436.67 ",November,2021,,,,,,,,,
11/29/21,1638144000,2.56146E+22,25614.56543,2.16," $55,327.46 ",November,2021,,,,,,,,,
11/30/21,1638230400,2.95582E+22,29558.20283,2.14," $63,254.55 ",November,2021,,,,,,,,,
12/1/21,1638316800,3.90362E+22,39036.23211,2.14," $83,537.54 ",December,2021,,,,,,,,,
12/2/21,1638403200,2.58163E+22,25816.31024,2.07," $53,439.76 ",December,2021,,,,,,,,,
12/3/21,1638489600,3.36143E+22,33614.33957,1.99," $66,892.54 ",December,2021,,,,,,,,,
12/4/21,1638576000,1.14272E+23,114272.2385,1.72," $196,548.25 ",December,2021,,,,,,,,,
12/5/21,1638662400,4.53172E+22,45317.21065,1.53," $69,335.33 ",December,2021,,,,,,,,,
12/6/21,1638748800,7.77186E+22,77718.59528,1.6," $124,349.75 ",December,2021,,,,,,,,,
12/7/21,1638835200,2.90349E+22,29034.87181,1.59," $46,165.45 ",December,2021,,,,,,,,,
12/8/21,1638921600,2.89555E+22,28955.51085,1.64," $47,487.04 ",December,2021,,,,,,,,,
12/9/21,1639008000,2.66153E+22,26615.29222,1.42," $37,793.71 ",December,2021,,,,,,,,,
12/10/21,1639094400,5.9909E+22,59908.95514,1.42," $85,070.72 ",December,2021,,,,,,,,,
12/11/21,1639180800,3.3631E+22,33631.01925,1.49," $50,110.22 ",December,2021,,,,,,,,,
12/12/21,1639267200,3.72628E+22,37262.78004,1.49," $55,521.54 ",December,2021,,,,,,,,,
12/13/21,1639353600,6.65658E+22,66565.80018,1.28," $85,204.22 ",December,2021,,,,,,,,,
12/14/21,1639440000,2.23745E+22,22374.54981,1.32," $29,534.41 ",December,2021,,,,,,,,,
12/15/21,1639526400,2.94277E+22,29427.7251,1.48," $43,553.03 ",December,2021,,,,,,,,,
12/16/21,1639612800,2.62425E+22,26242.54709,1.43," $37,526.84 ",December,2021,,,,,,,,,
12/17/21,1639699200,1.85849E+22,18584.91006,1.4," $26,018.87 ",December,2021,,,,,,,,,
12/18/21,1639785600,8.74168E+22,87416.78702,1.42," $124,131.84 ",December,2021,,,,,,,,,
12/19/21,1639872000,3.10569E+22,31056.90654,1.43," $44,411.38 ",December,2021,,,,,,,,,
12/20/21,1639958400,2.69459E+22,26945.85589,1.36," $36,646.36 ",December,2021,,,,,,,,,
12/21/21,1640044800,2.50621E+22,25062.09701,1.48," $37,091.90 ",December,2021,,,,,,,,,
12/22/21,1640131200,2.41759E+22,24175.86205,1.6," $38,681.38 ",December,2021,,,,,,,,,
12/23/21,1640217600,3.21879E+22,32187.9006,1.86," $59,869.50 ",December,2021,,,,,,,,,
12/24/21,1640304000,2.86343E+22,28634.32821,2.08," $59,559.40 ",December,2021,,,,,,,,,
12/25/21,1640390400,2.08608E+22,20860.82881,2.12," $44,224.96 ",December,2021,,,,,,,,,
12/26/21,1640476800,2.11085E+22,21108.53157,2.34," $49,393.96 ",December,2021,,,,,,,,,
12/27/21,1640563200,2.71031E+22,27103.13619,2.2," $59,626.90 ",December,2021,,,,,,,,,
12/28/21,1640649600,3.65745E+22,36574.51802,2.23," $81,561.18 ",December,2021,,,,,,,,,
12/29/21,1640736000,3.45294E+22,34529.44511,2.13," $73,547.72 ",December,2021,,,,,,,,,
12/30/21,1640822400,2.14845E+22,21484.51587,2.1," $45,117.48 ",December,2021,,,,,,,,,
12/31/21,1640908800,3.00453E+22,30045.32514,2.25," $67,601.98 ",December,2021,,,,,,,,,
1/1/22,1640995200,2.23132E+22,22313.19924,2.59," $57,791.19 ",January,2022,,,,,,,,,
1/2/22,1641081600,2.70388E+22,27038.77367,2.49," $67,326.55 ",January,2022,,,,,,,,,
1/3/22,1641168000,6.55151E+22,65515.08883,2.87," $188,028.30 ",January,2022,,,,,,,,,
1/4/22,1641254400,7.00063E+22,70006.32965,2.88," $201,618.23 ",January,2022,,,,,,,,,
1/5/22,1641340800,1.26968E+23,126967.7258,2.93," $372,015.44 ",January,2022,,,,,,,,,
1/6/22,1641427200,8.0646E+22,80645.96207,2.89," $233,066.83 ",January,2022,,,,,,,,,
1/7/22,1641513600,6.26543E+22,62654.30645,2.6," $162,901.20 ",January,2022,,,,,,,,,
1/8/22,1641600000,6.87057E+22,68705.73602,2.28," $156,649.08 ",January,2022,,,,,,,,,
1/9/22,1641686400,3.52626E+22,35262.58316,2.39," $84,277.57 ",January,2022,,,,,,,,,
1/10/22,1641772800,4.8791E+22,48791.02054,2.23," $108,803.98 ",January,2022,,,,,,,,,
1/11/22,1641859200,7.33383E+22,73338.26607,2.59," $189,946.11 ",January,2022,,,,,,,,,
1/12/22,1641945600,9.33744E+22,93374.36543,2.94," $274,520.63 ",January,2022,,,,,,,,,
1/13/22,1642032000,7.65928E+22,76592.76848,3.01," $230,544.23 ",January,2022,,,,,,,,,
1/14/22,1642118400,5.91743E+22,59174.3331,2.96," $175,156.03 ",January,2022,,,,,,,,,
1/15/22,1642204800,4.9387E+22,49386.95282,3," $148,160.86 ",January,2022,,,,,,,,,
1/16/22,1642291200,7.94665E+22,79466.54301,3.31," $263,034.26 ",January,2022,,,,,,,,,
1/17/22,1642377600,9.49457E+22,94945.7393,2.93," $278,191.02 ",January,2022,,,,,,,,,
1/18/22,1642464000,1.05704E+23,105703.7381,2.96," $312,883.06 ",January,2022,,,,,,,,,
1/19/22,1642550400,8.57608E+22,85760.80039,2.77," $237,557.42 ",January,2022,,,,,,,,,
1/20/22,1642636800,7.06081E+22,70608.104,2.69," $189,935.80 ",January,2022,,,,,,,,,
1/21/22,1642723200,2.03779E+23,203779.3415,2.28," $464,616.90 ",January,2022,,,,,,,,,
1/22/22,1642809600,3.01023E+23,301023.3812,1.97," $593,016.06 ",January,2022,,,,,,,,,
1/23/22,1642896000,1.13327E+23,113326.6715,2.28," $258,384.81 ",January,2022,,,,,,,,,
1/24/22,1642982400,1.25579E+23,125578.8623,2.26," $283,808.23 ",January,2022,,,,,,,,,
1/25/22,1643068800,1.09904E+23,109903.6946,2.38," $261,570.79 ",January,2022,,,,,,,,,
1/26/22,1643155200,1.21989E+23,121989.3745,2.24," $273,256.20 ",January,2022,,,,,,,,,
1/27/22,1643241600,1.35917E+23,135917.0493,2.08," $282,707.46 ",January,2022,,,,,,,,,
1/28/22,1643328000,1.00342E+23,100341.5018,2.13," $213,727.40 ",January,2022,,,,,,,,,
1/29/22,1643414400,4.93813E+22,49381.32484,2.1," $103,700.78 ",January,2022,,,,,,,,,
1/30/22,1643500800,3.80819E+22,38081.93112,2.03," $77,306.32 ",January,2022,,,,,,,,,
1/31/22,1643587200,3.69676E+22,36967.55524,2.04," $75,413.81 ",January,2022,,,,,,,,,
2/1/22,1643673600,3.87604E+22,38760.37481,2.07," $80,233.98 ",February,2022,,,,,,,,,
2/2/22,1643760000,5.95655E+22,59565.47445,1.92," $114,365.71 ",February,2022,,,,,,,,,
2/3/22,1643846400,4.02284E+22,40228.43574,1.96," $78,847.73 ",February,2022,,,,,,,,,
2/4/22,1643932800,5.77035E+22,57703.5443,2.13," $122,908.55 ",February,2022,,,,,,,,,
2/5/22,1644019200,6.41768E+22,64176.81453,2.09," $134,129.54 ",February,2022,,,,,,,,,
2/6/22,1644105600,6.31362E+22,63136.23744,2.16," $136,374.27 ",February,2022,,,,,,,,,
2/7/22,1644192000,5.75762E+22,57576.1983,2.32," $133,576.78 ",February,2022,,,,,,,,,
2/8/22,1644278400,8.7796E+22,87795.98009,2.21," $194,029.12 ",February,2022,,,,,,,,,
2/9/22,1644364800,7.03735E+22,70373.46125,2.26," $159,044.02 ",February,2022,,,,,,,,,
2/10/22,1644451200,6.1312E+22,61311.97416,2.1," $128,755.15 ",February,2022,,,,,,,,,
2/11/22,1644537600,5.89843E+22,58984.25644,1.94," $114,429.46 ",February,2022,,,,,,,,,
2/12/22,1644624000,3.82907E+22,38290.6833,1.95," $74,666.83 ",February,2022,,,,,,,,,
2/13/22,1644710400,4.49579E+22,44957.86804,1.89," $84,970.37 ",February,2022,,,,,,,,,
2/14/22,1644796800,4.88717E+22,48871.70388,1.93," $94,322.39 ",February,2022,,,,,,,,,
2/15/22,1644883200,5.13893E+22,51389.3159,2.09," $107,403.67 ",February,2022,,,,,,,,,
2/16/22,1644969600,4.78755E+22,47875.48314,2.07," $99,102.25 ",February,2022,,,,,,,,,
2/17/22,1645056000,5.23803E+22,52380.26909,1.9," $99,522.51 ",February,2022,,,,,,,,,
2/18/22,1645142400,5.98462E+22,59846.20956,1.87," $111,912.41 ",February,2022,,,,,,,,,
2/19/22,1645228800,3.71088E+22,37108.81031,1.88," $69,764.56 ",February,2022,,,,,,,,,
2/20/22,1645315200,4.88598E+22,48859.82778,1.73," $84,527.50 ",February,2022,,,,,,,,,
2/21/22,1645401600,1.04259E+23,104258.5176,1.54," $160,558.12 ",February,2022,,,,,,,,,
2/22/22,1645488000,7.25797E+22,72579.74786,1.61," $116,853.39 ",February,2022,,,,,,,,,
2/23/22,1645574400,1.63127E+23,163127.2642,1.57," $256,109.80 ",February,2022,,,,,,,,,
2/24/22,1645660800,4.93882E+23,493882.2862,1.49," $735,884.61 ",February,2022,,,,,,,,,
2/25/22,1645747200,4.03267E+23,403266.9572,1.72," $693,619.17 ",February,2022,,,,,,,,,
2/26/22,1645833600,2.34524E+23,234524.1552,1.77," $415,107.75 ",February,2022,,,,,,,,,
