Date(UTC),UnixTimeStamp,Gas Used nAvax,Month,Year,Transactions,Gas Used Avax,,,,,,,,,
12/17/20,1608163200,43641,December,2020,1,0.000043641,,,,,,,,,
12/18/20,1608249600,7216602,December,2020,51,0.007216602,,,,,,,,,
12/19/20,1608336000,6077074,December,2020,157,0.006077074,,,,,,,,,
12/20/20,1608422400,122974826,December,2020,3817,0.122974826,,,,,,,,,
12/21/20,1608508800,137676132,December,2020,4279,0.137676132,,,,,,,,,
12/22/20,1608595200,41490748,December,2020,1297,0.041490748,,,,,,,,,
12/23/20,1608681600,63000,December,2020,3,0.000063,,,,,,,,,
12/24/20,1608768000,42000,December,2020,2,0.000042,,,,,,,,,
12/25/20,1608854400,0,December,2020,0,0,,,,,,,,,
12/26/20,1608940800,0,December,2020,0,0,,,,,,,,,
12/27/20,1609027200,21000,December,2020,1,0.000021,,,,,,,,,
12/28/20,1609113600,17605147,December,2020,549,0.017605147,,,,,,,,,
12/29/20,1609200000,86211349,December,2020,2689,0.086211349,,,,,,,,,
12/30/20,1609286400,87701118,December,2020,2729,0.087701118,,,,,,,,,
12/31/20,1609372800,83979640,December,2020,2605,0.08397964,,,,,,,,,
1/1/21,1609459200,78480585,January,2021,1846,0.078480585,,,,,,,,,
1/2/21,1609545600,4408395,January,2021,11,0.004408395,,,,,,,,,
1/3/21,1609632000,5687741,January,2021,39,0.005687741,,,,,,,,,
1/4/21,1609718400,12565978,January,2021,16,0.012565978,,,,,,,,,
1/5/21,1609804800,21000,January,2021,1,0.000021,,,,,,,,,
1/6/21,1609891200,19052369,January,2021,41,0.019052369,,,,,,,,,
1/7/21,1609977600,5905284,January,2021,40,0.005905284,,,,,,,,,
1/8/21,1610064000,177613201,January,2021,4283,0.177613201,,,,,,,,,
1/9/21,1610150400,9585469,January,2021,295,0.009585469,,,,,,,,,
1/10/21,1610236800,203171,January,2021,3,0.000203171,,,,,,,,,
1/11/21,1610323200,53026081,January,2021,1638,0.053026081,,,,,,,,,
1/12/21,1610409600,19543886,January,2021,366,0.019543886,,,,,,,,,
1/13/21,1610496000,411208,January,2021,6,0.000411208,,,,,,,,,
1/14/21,1610582400,1451634,January,2021,14,0.001451634,,,,,,,,,
1/15/21,1610668800,5036139,January,2021,14,0.005036139,,,,,,,,,
1/16/21,1610755200,4502314,January,2021,35,0.004502314,,,,,,,,,
1/17/21,1610841600,4863213,January,2021,15,0.004863213,,,,,,,,,
1/18/21,1610928000,1131438,January,2021,19,0.001131438,,,,,,,,,
1/19/21,1611014400,16801364,January,2021,22,0.016801364,,,,,,,,,
1/20/21,1611100800,6962416,January,2021,20,0.006962416,,,,,,,,,
1/21/21,1611187200,367727,January,2021,8,0.000367727,,,,,,,,,
1/22/21,1611273600,6545727,January,2021,32,0.006545727,,,,,,,,,
1/23/21,1611360000,504000,January,2021,24,0.000504,,,,,,,,,
