Date,Tx_Fees_Per_Day
01-09-2021,803.4820950000001
02-09-2021,830.384445
03-09-2021,877.166
04-09-2021,869.4650800000001
05-09-2021,861.1554050000001
06-09-2021,863.277765
07-09-2021,837.099635
08-09-2021,853.68596
09-09-2021,867.1857150000001
10-09-2021,875.83482
11-09-2021,880.8493800000001
12-09-2021,880.0937550000001
13-09-2021,868.0924050000001
14-09-2021,453.707215
15-09-2021,701.9716050000001
16-09-2021,998.37507
17-09-2021,974.611025
18-09-2021,971.3427300000001
19-09-2021,991.1608200000001
20-09-2021,961.30934
21-09-2021,939.7008400000001
22-09-2021,940.609185
23-09-2021,948.0062200000001
24-09-2021,917.474685
25-09-2021,934.0367100000001
26-09-2021,926.106615
27-09-2021,951.063295
28-09-2021,943.3942900000001
29-09-2021,947.1228500000001
30-09-2021,933.1126800000001
01-10-2021,945.731575
02-10-2021,941.5588200000001
03-10-2021,941.94316
04-10-2021,917.34112
05-10-2021,932.1224900000001
06-10-2021,936.51029
07-10-2021,989.542815
08-10-2021,1082.100075
09-10-2021,1112.2713
10-10-2021,1095.5176800000002
11-10-2021,1116.301905
12-10-2021,1156.5184900000002
13-10-2021,1188.44683
14-10-2021,1219.27943
15-10-2021,1215.42026
16-10-2021,1215.8282350000002
17-10-2021,1211.3500900000001
18-10-2021,1222.41928
19-10-2021,1231.592675
20-10-2021,1224.8649850000002
21-10-2021,1103.6996800000002
22-10-2021,1153.29617
23-10-2021,1158.9803100000001
24-10-2021,1188.321285
25-10-2021,1200.436545
26-10-2021,1210.1561450000002
27-10-2021,1136.443505
28-10-2021,1167.366755
29-10-2021,1180.319375
30-10-2021,1199.689715
31-10-2021,1213.50035
01-11-2021,1173.65262
02-11-2021,1174.42714
03-11-2021,1163.06179
04-11-2021,1219.02292
05-11-2021,1225.5861550000002
06-11-2021,1204.00749
07-11-2021,1201.7362050000002
08-11-2021,1165.44559
09-11-2021,1174.6311950000002
10-11-2021,1119.32071
11-11-2021,1187.067295
12-11-2021,1134.655285
13-11-2021,1228.51701
14-11-2021,1257.29044
15-11-2021,1246.737685
16-11-2021,1198.94675
17-11-2021,1215.6590600000002
18-11-2021,1160.75214
19-11-2021,1231.76017
20-11-2021,1282.6722100000002
21-11-2021,1274.60581
22-11-2021,1216.469415
23-11-2021,1159.0253750000002
24-11-2021,1222.490485
25-11-2021,1218.6940100000002
26-11-2021,1113.96998
27-11-2021,1228.0104800000001
28-11-2021,1223.0268150000002
29-11-2021,1151.964375
30-11-2021,1156.5508650000002
01-12-2021,1132.4487100000001
02-12-2021,1071.11599
03-12-2021,1168.7573300000001
04-12-2021,911.554525
05-12-2021,1121.395845
06-12-2021,1132.55761
07-12-2021,1126.4644
08-12-2021,1184.1131750000002
09-12-2021,1090.745775
10-12-2021,1136.976595
11-12-2021,1157.5425500000001
12-12-2021,1138.253635
13-12-2021,844.85616
14-12-2021,1033.97417
15-12-2021,1279.6875400000001
16-12-2021,1323.4133800000002
17-12-2021,1217.842225
18-12-2021,1299.671835
19-12-2021,1284.090885
20-12-2021,1143.00999
21-12-2021,1243.527055
22-12-2021,1271.700765
23-12-2021,1325.87866
24-12-2021,1382.482555
25-12-2021,1463.144295
26-12-2021,1413.4274750000002
27-12-2021,1289.90462
28-12-2021,1205.266425
29-12-2021,1132.034715
30-12-2021,1254.25667
31-12-2021,1221.70286
01-01-2022,1300.73324
02-01-2022,1302.5026400000002
03-01-2022,1068.02844
04-01-2022,1196.73515
05-01-2022,1148.870515
06-01-2022,1010.77484
07-01-2022,701.839415
08-01-2022,985.15696
09-01-2022,1148.545665
10-01-2022,1102.5058900000001
11-01-2022,1256.3217900000002
12-01-2022,1235.217045
13-01-2022,1246.5722250000001
14-01-2022,1181.8575050000002
15-01-2022,1236.702
16-01-2022,1228.0258900000001
17-01-2022,1095.5019750000001
18-01-2022,1072.8642200000002
19-01-2022,1045.802815
20-01-2022,986.29673
21-01-2022,507.371165
22-01-2022,501.829825
23-01-2022,1263.94416
24-01-2022,1239.26287
25-01-2022,1325.061805
26-01-2022,1283.260655
27-01-2022,1264.210925
28-01-2022,1286.990645
29-01-2022,1295.028915
30-01-2022,1340.78211
31-01-2022,1284.114745
01-02-2022,1235.22961
02-02-2022,1185.6195300000002
03-02-2022,1316.7521900000002
04-02-2022,1314.2386900000001
05-02-2022,1325.96011
06-02-2022,1331.4183
07-02-2022,1289.59678
08-02-2022,1226.8124850000002
09-02-2022,1223.0919000000001
10-02-2022,1220.81079
11-02-2022,1214.534805
12-02-2022,1213.0034950000002
13-02-2022,1247.9232200000001
14-02-2022,1263.9201050000001
15-02-2022,1215.27728
16-02-2022,1259.994915
17-02-2022,1232.951925
18-02-2022,1243.6935
19-02-2022,1191.90099
20-02-2022,1025.334675
21-02-2022,1173.968435
22-02-2022,1188.4101
23-02-2022,1189.6496200000001
24-02-2022,1002.8069350000001
25-02-2022,1138.47756
26-02-2022,1239.3451300000002
27-02-2022,1227.027065
28-02-2022,1160.16399
01-03-2022,1171.2489400000002
