"Date(UTC)","UnixTimeStamp","Value"
"10/31/2020","1604102400","3927337184800000000"
"11/1/2020","1604188800","2895477295800000000"
"11/2/2020","1604275200","3789781322558310400"
"11/3/2020","1604361600","4660031314995400000"
"11/4/2020","1604448000","10520798947900000000"
"11/5/2020","1604534400","13434278323800000000"
"11/6/2020","1604620800","16485159853750000000"
"11/7/2020","1604707200","4901860366650000000"
"11/8/2020","1604793600","3916325335100000000"
"11/9/2020","1604880000","4546158731650000000"
"11/10/2020","1604966400","5666466068600000000"
"11/11/2020","1605052800","4683266677750000000"
"11/12/2020","1605139200","4211053316615300000"
"11/13/2020","1605225600","4857169276150000000"
"11/14/2020","1605312000","3542856702700000000"
"11/15/2020","1605398400","3691564303500000000"
"11/16/2020","1605484800","4005669656700000000"
"11/17/2020","1605571200","3590156820200000000"
"11/18/2020","1605657600","6181000941500000000"
"11/19/2020","1605744000","4609028320784420000"
"11/20/2020","1605830400","5696247417900000000"
"11/21/2020","1605916800","4364312199500000000"
"11/22/2020","1606003200","5702739007000000000"
"11/23/2020","1606089600","7384288945750000000"
"11/24/2020","1606176000","7511570552250000000"
"11/25/2020","1606262400","8232112637750000000"
"11/26/2020","1606348800","11274215135000000000"
"11/27/2020","1606435200","7161846344600000000"
"11/28/2020","1606521600","6781271397100000000"
"11/29/2020","1606608000","4838745148834948666"
"11/30/2020","1606694400","7737204415535841363"
"12/1/2020","1606780800","10059569417600000000"
"12/2/2020","1606867200","21610873154038510685"
"12/3/2020","1606953600","20827196506254600000"
"12/4/2020","1607040000","19537742241150000000"
"12/5/2020","1607126400","18227397954700000000"
"12/6/2020","1607212800","18249135454600000000"
"12/7/2020","1607299200","19457368164700000000"
"12/8/2020","1607385600","16878047145980639000"
"12/9/2020","1607472000","31602490167919153080"
"12/10/2020","1607558400","14868152931196625098"
"12/11/2020","1607644800","18445687360855935000"
"12/12/2020","1607731200","17989799831208332448"
"12/13/2020","1607817600","17609338405343267964"
"12/14/2020","1607904000","18427036748855142450"
"12/15/2020","1607990400","20775986616985192789"
"12/16/2020","1608076800","20719393904907611140"
"12/17/2020","1608163200","20619836173430167926"
"12/18/2020","1608249600","16899827923832629930"
"12/19/2020","1608336000","11031157384450212983"
"12/20/2020","1608422400","10923405357800000000"
"12/21/2020","1608508800","12145723210350000000"
"12/22/2020","1608595200","11226689148600000000"
"12/23/2020","1608681600","12112777601500000000"
"12/24/2020","1608768000","10920685152500000000"
"12/25/2020","1608854400","9693537422500000000"
"12/26/2020","1608940800","9360569566500000000"
"12/27/2020","1609027200","10821907503491630520"
"12/28/2020","1609113600","10635762819000000000"
"12/29/2020","1609200000","9842325803500000000"
"12/30/2020","1609286400","10095164068000000000"
"12/31/2020","1609372800","8987331035900000000"
