Date(UTC),UnixTimeStamp,Block Size,Block Time,Block Count,Month,Year,,,,,
4/22/22,1650585600,51979,3.01,28692,April,2022,,,,,
4/23/22,1650672000,51959,3.02,28651,April,2022,,,,,
4/24/22,1650758400,48114,3,28760,April,2022,,,,,
4/25/22,1650844800,56790,3.03,28498,April,2022,,,,,
4/26/22,1650931200,54156,3.02,28645,April,2022,,,,,
4/27/22,1651017600,49312,3.02,28579,April,2022,,,,,
4/28/22,1651104000,55542,3.03,28550,April,2022,,,,,
4/29/22,1651190400,58936,3.04,28466,April,2022,,,,,
4/30/22,1651276800,49331,3.02,28645,April,2022,,,,,
5/1/22,1651363200,47416,3.03,28511,May,2022,,,,,
5/2/22,1651449600,44217,3.01,28660,May,2022,,,,,
5/3/22,1651536000,43216,3.02,28604,May,2022,,,,,
5/4/22,1651622400,47879,3.01,28685,May,2022,,,,,
5/5/22,1651708800,49823,3.01,28677,May,2022,,,,,
5/6/22,1651795200,46065,3.01,28672,May,2022,,,,,
5/7/22,1651881600,44825,3.01,28672,May,2022,,,,,
5/8/22,1651968000,45795,3.05,28288,May,2022,,,,,
5/9/22,1652054400,65790,3.01,28709,May,2022,,,,,
5/10/22,1652140800,59378,3.01,28721,May,2022,,,,,
5/11/22,1652227200,99174,3.11,27772,May,2022,,,,,
5/12/22,1652313600,126990,3.04,28377,May,2022,,,,,
5/13/22,1652400000,101678,3.08,28020,May,2022,,,,,
5/14/22,1652486400,84824,3.05,28307,May,2022,,,,,
5/15/22,1652572800,56756,3.04,28441,May,2022,,,,,
5/16/22,1652659200,55414,3.07,28187,May,2022,,,,,
5/17/22,1652745600,46561,3.04,28376,May,2022,,,,,
5/18/22,1652832000,46306,3.02,28603,May,2022,,,,,
5/19/22,1652918400,44896,3.02,28580,May,2022,,,,,
5/20/22,1653004800,43836,3.01,28752,May,2022,,,,,
5/21/22,1653091200,40185,3.01,28661,May,2022,,,,,
5/22/22,1653177600,42028,3.01,28727,May,2022,,,,,
5/23/22,1653264000,51255,3.01,28698,May,2022,,,,,
5/24/22,1653350400,46812,3.01,28683,May,2022,,,,,
5/25/22,1653436800,47684,3.02,28609,May,2022,,,,,
5/26/22,1653523200,52836,3.04,28453,May,2022,,,,,
5/27/22,1653609600,45614,3.01,28682,May,2022,,,,,
5/28/22,1653696000,40852,3.03,28480,May,2022,,,,,
5/29/22,1653782400,40128,3.02,28598,May,2022,,,,,
5/30/22,1653868800,47381,3.02,28616,May,2022,,,,,
5/31/22,1653955200,45342,3.01,28665,May,2022,,,,,
6/1/22,1654041600,43652,3.02,28650,June,2022,,,,,
6/2/22,1654128000,39818,3.02,28561,June,2022,,,,,
6/3/22,1654214400,36753,3.02,28644,June,2022,,,,,
6/4/22,1654300800,35465,3.02,28602,June,2022,,,,,
6/5/22,1654387200,37456,3.02,28588,June,2022,,,,,
6/6/22,1654473600,43480,3.04,28459,June,2022,,,,,
6/7/22,1654560000,44777,3.01,28734,June,2022,,,,,
6/8/22,1654646400,46268,3.02,28622,June,2022,,,,,
6/9/22,1654732800,44321,3.03,28513,June,2022,,,,,
6/10/22,1654819200,43246,3.02,28648,June,2022,,,,,
6/11/22,1654905600,39437,3.02,28614,June,2022,,,,,
6/12/22,1654992000,39336,3.02,28636,June,2022,,,,,
6/13/22,1655078400,54918,3.02,28571,June,2022,,,,,
6/14/22,1655164800,48364,3.01,28705,June,2022,,,,,
6/15/22,1655251200,46855,3.02,28630,June,2022,,,,,
6/16/22,1655337600,40434,3.03,28491,June,2022,,,,,
6/17/22,1655424000,36642,3.01,28685,June,2022,,,,,
6/18/22,1655510400,41023,3.01,28752,June,2022,,,,,
6/19/22,1655596800,35334,3.01,28746,June,2022,,,,,
6/20/22,1655683200,40025,3.02,28602,June,2022,,,,,
6/21/22,1655769600,41287,3,28763,June,2022,,,,,
6/22/22,1655856000,37361,1993.03,28753,June,2022,,,,,
6/23/22,1655942400,37539,3,28756,June,2022,,,,,
6/24/22,1656028800,39862,3.02,28638,June,2022,,,,,
6/25/22,1656115200,36035,3,28792,June,2022,,,,,
6/26/22,1656201600,36576,3,28765,June,2022,,,,,
6/27/22,1656288000,37051,3,28793,June,2022,,,,,
6/28/22,1656374400,40350,3.01,28734,June,2022,,,,,
6/29/22,1656460800,41366,3,28755,June,2022,,,,,
6/30/22,1656547200,42917,3.01,28696,June,2022,,,,,
7/1/22,1656633600,40557,3,28790,July,2022,,,,,
7/2/22,1656720000,34220,3,28768,July,2022,,,,,
7/3/22,1656806400,32063,3,28776,July,2022,,,,,
7/4/22,1656892800,38296,3,28760,July,2022,,,,,
7/5/22,1656979200,39279,3,28771,July,2022,,,,,
7/6/22,1657065600,38079,3,28777,July,2022,,,,,
7/7/22,1657152000,38111,3.01,28726,July,2022,,,,,
7/8/22,1657238400,38517,3,28777,July,2022,,,,,
7/9/22,1657324800,31830,3,28787,July,2022,,,,,
7/10/22,1657411200,31923,3,28790,July,2022,,,,,
7/11/22,1657497600,39387,3,28793,July,2022,,,,,
7/12/22,1657584000,36943,3,28773,July,2022,,,,,
7/13/22,1657670400,39029,3,28769,July,2022,,,,,
7/14/22,1657756800,39449,3,28768,July,2022,,,,,
7/15/22,1657843200,40209,3.01,28734,July,2022,,,,,
7/16/22,1657929600,39692,3.01,28747,July,2022,,,,,
7/17/22,1658016000,37488,3,28777,July,2022,,,,,
7/18/22,1658102400,42883,3,28755,July,2022,,,,,
7/19/22,1658188800,40728,3,28759,July,2022,,,,,
7/20/22,1658275200,37814,3.01,28729,July,2022,,,,,
7/21/22,1658361600,36188,3.01,28679,July,2022,,,,,
7/22/22,1658448000,35396,3.03,28489,July,2022,,,,,
7/23/22,1658534400,30574,3.02,28636,July,2022,,,,,
7/24/22,1658620800,29672,3.01,28667,July,2022,,,,,
7/25/22,1658707200,35803,3.01,28697,July,2022,,,,,
7/26/22,1658793600,33951,3.01,28730,July,2022,,,,,
7/27/22,1658880000,36800,3.01,28715,July,2022,,,,,
7/28/22,1658966400,37089,3.01,28689,July,2022,,,,,
7/29/22,1659052800,38586,3.01,28682,July,2022,,,,,
7/30/22,1659139200,37274,3.02,28648,July,2022,,,,,
7/31/22,1659225600,36672,3,28754,July,2022,,,,,
8/1/22,1659312000,37384,3,28765,August,2022,,,,,
8/2/22,1659398400,33793,3.01,28752,August,2022,,,,,
8/3/22,1659484800,33139,3,28786,August,2022,,,,,
8/4/22,1659571200,34935,3,28760,August,2022,,,,,
8/5/22,1659657600,35914,3.01,28731,August,2022,,,,,
8/6/22,1659744000,34776,3,28763,August,2022,,,,,
8/7/22,1659830400,32018,2128.93,28772,August,2022,,,,,
8/8/22,1659916800,36020,3,28797,August,2022,,,,,
8/9/22,1660003200,35907,3.01,28732,August,2022,,,,,
8/10/22,1660089600,35793,3,28757,August,2022,,,,,
8/11/22,1660176000,36148,3,28793,August,2022,,,,,
8/12/22,1660262400,32652,3,28794,August,2022,,,,,
8/13/22,1660348800,32552,3,28786,August,2022,,,,,
8/14/22,1660435200,30594,3,28787,August,2022,,,,,
8/15/22,1660521600,34957,3.02,28647,August,2022,,,,,
8/16/22,1660608000,32421,3,28765,August,2022,,,,,
8/17/22,1660694400,32475,3,28782,August,2022,,,,,
8/18/22,1660780800,31888,3.01,28745,August,2022,,,,,
8/19/22,1660867200,34707,3,28763,August,2022,,,,,
8/20/22,1660953600,28774,3,28800,August,2022,,,,,
8/21/22,1661040000,26198,3,28800,August,2022,,,,,
8/22/22,1661126400,30105,3,28787,August,2022,,,,,
8/23/22,1661212800,30565,3,28797,August,2022,,,,,
8/24/22,1661299200,28323,3,28760,August,2022,,,,,
8/25/22,1661385600,29578,3.01,28682,August,2022,,,,,
8/26/22,1661472000,34328,3.01,28725,August,2022,,,,,
8/27/22,1661558400,27392,3,28799,August,2022,,,,,
8/28/22,1661644800,27788,3,28776,August,2022,,,,,
8/29/22,1661731200,33255,3,28757,August,2022,,,,,
8/30/22,1661817600,32929,3.01,28750,August,2022,,,,,
8/31/22,1661904000,32002,3.01,28748,August,2022,,,,,
9/1/22,1661990400,35096,3.01,28688,September,2022,,,,,
9/2/22,1662076800,31461,3.01,28737,September,2022,,,,,
9/3/22,1662163200,28149,3,28800,September,2022,,,,,
9/4/22,1662249600,27356,3,28800,September,2022,,,,,
9/5/22,1662336000,32251,3.03,28544,September,2022,,,,,
9/6/22,1662422400,37300,3.01,28736,September,2022,,,,,
9/7/22,1662508800,35927,3,28788,September,2022,,,,,
9/8/22,1662595200,37279,3.01,28713,September,2022,,,,,
9/9/22,1662681600,40466,3.01,28709,September,2022,,,,,
9/10/22,1662768000,28547,3,28800,September,2022,,,,,
9/11/22,1662854400,27278,3,28799,September,2022,,,,,
9/12/22,1662940800,31441,3,28800,September,2022,,,,,
9/13/22,1663027200,31947,3,28795,September,2022,,,,,
9/14/22,1663113600,31469,3,28798,September,2022,,,,,
9/15/22,1663200000,34965,3.04,28417,September,2022,,,,,
9/16/22,1663286400,36898,3.06,28255,September,2022,,,,,
9/17/22,1663372800,29228,3.02,28596,September,2022,,,,,
9/18/22,1663459200,29753,3.02,28603,September,2022,,,,,
9/19/22,1663545600,32757,3.03,28491,September,2022,,,,,
9/20/22,1663632000,30656,3.02,28629,September,2022,,,,,
9/21/22,1663718400,31094,3.01,28691,September,2022,,,,,
9/22/22,1663804800,30528,3.02,28619,September,2022,,,,,
9/23/22,1663891200,28190,3.02,28620,September,2022,,,,,
9/24/22,1663977600,25446,3.02,28654,September,2022,,,,,
9/25/22,1664064000,25338,3.01,28682,September,2022,,,,,
9/26/22,1664150400,29470,3.05,28313,September,2022,,,,,
9/27/22,1664236800,30646,3.03,28489,September,2022,,,,,
9/28/22,1664323200,31765,3.06,28235,September,2022,,,,,
9/29/22,1664409600,30047,3.13,27607,September,2022,,,,,
9/30/22,1664496000,29534,3.07,28175,September,2022,,,,,
10/1/22,1664582400,27013,3.02,28644,October,2022,,,,,
10/2/22,1664668800,26406,3.02,28588,October,2022,,,,,
10/3/22,1664755200,28307,3.1,27868,October,2022,,,,,
10/4/22,1664841600,28505,3.06,28244,October,2022,,,,,
10/5/22,1664928000,29571,3.06,28220,October,2022,,,,,
