Date(UTC),UnixTimeStamp,Block Time,Block Size,Block Count,Month,Year,,,,
12/1/20,1606780800,3,1807,9590,December,2020,,,,
12/2/20,1606867200,3.01,1871,8747,December,2020,,,,
12/3/20,1606953600,3,1806,9711,December,2020,,,,
12/4/20,1607040000,3.01,1840,8568,December,2020,,,,
12/5/20,1607126400,3,1830,7271,December,2020,,,,
12/6/20,1607212800,3,1771,6414,December,2020,,,,
12/7/20,1607299200,3,1879,7643,December,2020,,,,
12/8/20,1607385600,3,1850,9430,December,2020,,,,
12/9/20,1607472000,3.02,1922,8434,December,2020,,,,
12/10/20,1607558400,3.01,1780,12759,December,2020,,,,
12/11/20,1607644800,3,1768,11368,December,2020,,,,
12/12/20,1607731200,3,1828,10177,December,2020,,,,
12/13/20,1607817600,3,1781,11688,December,2020,,,,
12/14/20,1607904000,3,1788,11374,December,2020,,,,
12/15/20,1607990400,3.01,1766,12299,December,2020,,,,
12/16/20,1608076800,3.01,1785,11507,December,2020,,,,
12/17/20,1608163200,3,1768,12218,December,2020,,,,
12/18/20,1608249600,3.01,1834,9632,December,2020,,,,
12/19/20,1608336000,3.01,1807,10247,December,2020,,,,
12/20/20,1608422400,3,1814,9896,December,2020,,,,
12/21/20,1608508800,3,1824,10159,December,2020,,,,
12/22/20,1608595200,3,1851,9431,December,2020,,,,
12/23/20,1608681600,3,1826,9758,December,2020,,,,
12/24/20,1608768000,3,1887,8355,December,2020,,,,
12/25/20,1608854400,3,1922,7753,December,2020,,,,
12/26/20,1608940800,3,1864,8778,December,2020,,,,
12/27/20,1609027200,3,1832,9327,December,2020,,,,
12/28/20,1609113600,3,1859,8893,December,2020,,,,
12/29/20,1609200000,3,1857,8373,December,2020,,,,
12/30/20,1609286400,3,1856,8309,December,2020,,,,
12/31/20,1609372800,3,1906,7504,December,2020,,,,
1/1/21,1609459200,3,1876,7873,January,2021,,,,
1/2/21,1609545600,3,1871,7917,January,2021,,,,
1/3/21,1609632000,3,1769,9859,January,2021,,,,
1/4/21,1609718400,3.01,1796,9969,January,2021,,,,
1/5/21,1609804800,3,1809,9201,January,2021,,,,
1/6/21,1609891200,3,1815,10065,January,2021,,,,
1/7/21,1609977600,3,1774,11531,January,2021,,,,
1/8/21,1610064000,3,1825,10353,January,2021,,,,
1/9/21,1610150400,3,1802,10967,January,2021,,,,
1/10/21,1610236800,3,1813,10168,January,2021,,,,
1/11/21,1610323200,3,1865,8791,January,2021,,,,
1/12/21,1610409600,3,1871,9286,January,2021,,,,
1/13/21,1610496000,3,1851,9634,January,2021,,,,
1/14/21,1610582400,3,1846,9369,January,2021,,,,
1/15/21,1610668800,3,1847,8699,January,2021,,,,
1/16/21,1610755200,3,1777,11246,January,2021,,,,
1/17/21,1610841600,3,1837,9292,January,2021,,,,
1/18/21,1610928000,3,1855,9001,January,2021,,,,
1/19/21,1611014400,3,1825,10024,January,2021,,,,
1/20/21,1611100800,3,1862,8610,January,2021,,,,
1/21/21,1611187200,3,1857,8539,January,2021,,,,
1/22/21,1611273600,3,1836,9684,January,2021,,,,
1/23/21,1611360000,3,1726,14990,January,2021,,,,
1/24/21,1611446400,3,1661,22989,January,2021,,,,
1/25/21,1611532800,3,1741,15347,January,2021,,,,
1/26/21,1611619200,3,1718,14935,January,2021,,,,
1/27/21,1611705600,3,1694,19392,January,2021,,,,
1/28/21,1611792000,3,1664,24653,January,2021,,,,
1/29/21,1611878400,3,1648,30290,January,2021,,,,
1/30/21,1611964800,3.01,1728,16179,January,2021,,,,
1/31/21,1612051200,3.01,1721,16607,January,2021,,,,
2/1/21,1612137600,3,1741,16554,February,2021,,,,
2/2/21,1612224000,3.08,1777,14996,February,2021,,,,
2/3/21,1612310400,3.05,1718,17228,February,2021,,,,
2/4/21,1612396800,3,1727,16792,February,2021,,,,
2/5/21,1612483200,3,1723,17766,February,2021,,,,
2/6/21,1612569600,3,1764,14937,February,2021,,,,
2/7/21,1612656000,3,1771,13101,February,2021,,,,
2/8/21,1612742400,3.01,1790,12533,February,2021,,,,
2/9/21,1612828800,3.01,1785,12727,February,2021,,,,
2/10/21,1612915200,3,1790,12408,February,2021,,,,
2/11/21,1613001600,3,1759,14418,February,2021,,,,
2/12/21,1613088000,3,1741,15645,February,2021,,,,
2/13/21,1613174400,3,1824,12300,February,2021,,,,
2/14/21,1613260800,3,1785,12591,February,2021,,,,
2/15/21,1613347200,3.01,1765,15413,February,2021,,,,
2/16/21,1613433600,3.01,1764,14637,February,2021,,,,
2/17/21,1613520000,3.01,1767,15197,February,2021,,,,
2/18/21,1613606400,3.03,1705,18918,February,2021,,,,
2/19/21,1613692800,3.19,2659,19039,February,2021,,,,
2/20/21,1613779200,3.07,1743,19270,February,2021,,,,
2/21/21,1613865600,3.05,1665,25304,February,2021,,,,
2/22/21,1613952000,3.02,1683,24940,February,2021,,,,
2/23/21,1614038400,3.03,1730,26912,February,2021,,,,
2/24/21,1614124800,3.01,1664,30494,February,2021,,,,
2/25/21,1614211200,3.01,1734,21179,February,2021,,,,
2/26/21,1614297600,3.01,1976,20098,February,2021,,,,
2/27/21,1614384000,3.01,2093,15176,February,2021,,,,
2/28/21,1614470400,3.01,2039,16989,February,2021,,,,
3/1/21,1614556800,3.01,1881,22496,March,2021,,,,
3/2/21,1614643200,3,2036,18657,March,2021,,,,
3/3/21,1614729600,3.18,2072,17714,March,2021,,,,
3/4/21,1614816000,3,2113,22325,March,2021,,,,
3/5/21,1614902400,3,2116,14744,March,2021,,,,
3/6/21,1614988800,3,2236,13640,March,2021,,,,
3/7/21,1615075200,3,2109,14073,March,2021,,,,
3/8/21,1615161600,3,2264,15127,March,2021,,,,
3/9/21,1615248000,3,2076,18496,March,2021,,,,
3/10/21,1615334400,3.01,2068,18530,March,2021,,,,
3/11/21,1615420800,3,2078,15417,March,2021,,,,
3/12/21,1615507200,3.01,2180,16059,March,2021,,,,
3/13/21,1615593600,3.01,2113,13812,March,2021,,,,
3/14/21,1615680000,3,2092,13954,March,2021,,,,
3/15/21,1615766400,3,2111,13321,March,2021,,,,
3/16/21,1615852800,3,2139,12858,March,2021,,,,
3/17/21,1615939200,3,2056,12764,March,2021,,,,
3/18/21,1616025600,3,2165,14572,March,2021,,,,
3/19/21,1616112000,3,2138,14338,March,2021,,,,
3/20/21,1616198400,3,1981,13494,March,2021,,,,
3/21/21,1616284800,3,2078,15847,March,2021,,,,
3/22/21,1616371200,3.04,2189,43726,March,2021,,,,
3/23/21,1616457600,3.02,2388,89466,March,2021,,,,
3/24/21,1616544000,3.02,2093,22656,March,2021,,,,
3/25/21,1616630400,3.03,2114,17817,March,2021,,,,
3/26/21,1616716800,3.02,2002,19045,March,2021,,,,
3/27/21,1616803200,3.09,2231,15579,March,2021,,,,
3/28/21,1616889600,3,2132,15540,March,2021,,,,
3/29/21,1616976000,3.01,2247,27124,March,2021,,,,
3/30/21,1617062400,3.01,2570,76775,March,2021,,,,
3/31/21,1617148800,3.02,2093,53955,March,2021,,,,
4/1/21,1617235200,3.02,2001,55547,April,2021,,,,
4/2/21,1617321600,3.03,2048,46385,April,2021,,,,
4/3/21,1617408000,3.01,1960,32651,April,2021,,,,
4/4/21,1617494400,3.05,2037,33250,April,2021,,,,
4/5/21,1617580800,3.06,2022,35461,April,2021,,,,
4/6/21,1617667200,3.05,1949,37414,April,2021,,,,
4/7/21,1617753600,3.07,1994,30664,April,2021,,,,
4/8/21,1617840000,3.13,1923,33530,April,2021,,,,
4/9/21,1617926400,3.02,1895,29375,April,2021,,,,
4/10/21,1618012800,3,1919,31149,April,2021,,,,
4/11/21,1618099200,3,1999,33424,April,2021,,,,
4/12/21,1618185600,3.01,2037,37781,April,2021,,,,
4/13/21,1618272000,3,2073,32313,April,2021,,,,
4/14/21,1618358400,3,1957,28753,April,2021,,,,
4/15/21,1618444800,3,1936,29572,April,2021,,,,
4/16/21,1618531200,3.02,2053,29382,April,2021,,,,
4/17/21,1618617600,3,2161,37410,April,2021,,,,
4/18/21,1618704000,3,2213,42953,April,2021,,,,
4/19/21,1618790400,3.02,2508,46737,April,2021,,,,
4/20/21,1618876800,3.02,2208,52791,April,2021,,,,
4/21/21,1618963200,3.1,2697,66449,April,2021,,,,
4/22/21,1619049600,3.07,2486,64351,April,2021,,,,
4/23/21,1619136000,3.01,2497,75168,April,2021,,,,
4/24/21,1619222400,3.01,967,70765,April,2021,,,,
4/25/21,1619308800,3.01,1136,71475,April,2021,,,,
4/26/21,1619395200,3.02,1405,85382,April,2021,,,,
4/27/21,1619481600,3.03,1159,84720,April,2021,,,,
4/28/21,1619568000,3.01,1609,85434,April,2021,,,,
4/29/21,1619654400,3.02,1963,3599,April,2021,,,,
4/30/21,1619740800,3.06,1571,83591,April,2021,,,,
