Date(UTC),UnixTimeStamp,Block Time,Block Size,Block Count,Month,Year,,,,
11/30/21,1638230400,3.18,3444,98479,November,2021,,,,
12/1/21,1638316800,3.24,3979,100280,December,2021,,,,
12/2/21,1638403200,3.1,3710,99923,December,2021,,,,
12/3/21,1638489600,3.04,3778,96071,December,2021,,,,
12/4/21,1638576000,3.04,4522,93034,December,2021,,,,
12/5/21,1638662400,3.07,4017,95845,December,2021,,,,
12/6/21,1638748800,3.09,4388,95305,December,2021,,,,
12/7/21,1638835200,3.19,3548,100010,December,2021,,,,
12/8/21,1638921600,3.4,3562,99034,December,2021,,,,
12/9/21,1639008000,3.02,3401,99014,December,2021,,,,
12/10/21,1639094400,3.03,3311,99120,December,2021,,,,
12/11/21,1639180800,3,3107,97611,December,2021,,,,
12/12/21,1639267200,3.01,3215,94893,December,2021,,,,
12/13/21,1639353600,3.02,3897,94336,December,2021,,,,
12/14/21,1639440000,3.03,3179,96610,December,2021,,,,
12/15/21,1639526400,3.01,3425,94673,December,2021,,,,
12/16/21,1639612800,3.01,3213,98027,December,2021,,,,
12/17/21,1639699200,3.01,2893,98405,December,2021,,,,
12/18/21,1639785600,3,3664,93931,December,2021,,,,
12/19/21,1639872000,3,3019,97523,December,2021,,,,
12/20/21,1639958400,3,3209,95556,December,2021,,,,
12/21/21,1640044800,3.07,3004,94751,December,2021,,,,
12/22/21,1640131200,3.01,3143,96943,December,2021,,,,
12/23/21,1640217600,3,3738,96414,December,2021,,,,
12/24/21,1640304000,3,3401,96645,December,2021,,,,
12/25/21,1640390400,3,2601,98154,December,2021,,,,
12/26/21,1640476800,3,2845,98535,December,2021,,,,
12/27/21,1640563200,3.01,3308,97957,December,2021,,,,
12/28/21,1640649600,3.01,3684,97609,December,2021,,,,
12/29/21,1640736000,3,3473,94466,December,2021,,,,
12/30/21,1640822400,3,2874,95578,December,2021,,,,
12/31/21,1640908800,3,3254,94684,December,2021,,,,
1/1/22,1640995200,3,2931,95113,January,2022,,,,
1/2/22,1641081600,3.01,2933,98200,January,2022,,,,
1/3/22,1641168000,3,3964,95285,January,2022,,,,
1/4/22,1641254400,3.01,4274,101357,January,2022,,,,
1/5/22,1641340800,3.01,5309,96436,January,2022,,,,
1/6/22,1641427200,3,4234,100596,January,2022,,,,
1/7/22,1641513600,3.01,4329,98458,January,2022,,,,
1/8/22,1641600000,3,4062,94624,January,2022,,,,
1/9/22,1641686400,3,3475,99247,January,2022,,,,
1/10/22,1641772800,3,3667,97384,January,2022,,,,
1/11/22,1641859200,3.01,4905,94237,January,2022,,,,
1/12/22,1641945600,3.01,5557,93589,January,2022,,,,
1/13/22,1642032000,3,5508,94844,January,2022,,,,
1/14/22,1642118400,3.01,4573,100465,January,2022,,,,
1/15/22,1642204800,3.01,4181,101801,January,2022,,,,
1/16/22,1642291200,3.01,5165,101130,January,2022,,,,
1/17/22,1642377600,3.03,5363,104076,January,2022,,,,
1/18/22,1642464000,3.04,5624,99595,January,2022,,,,
1/19/22,1642550400,3.02,5212,100677,January,2022,,,,
1/20/22,1642636800,3,4674,101909,January,2022,,,,
1/21/22,1642723200,3.01,5976,88834,January,2022,,,,
1/22/22,1642809600,3.01,6460,89688,January,2022,,,,
1/23/22,1642896000,3,5878,93968,January,2022,,,,
1/24/22,1642982400,3.01,6016,91462,January,2022,,,,
1/25/22,1643068800,3.01,5652,95077,January,2022,,,,
1/26/22,1643155200,3.01,5973,92565,January,2022,,,,
1/27/22,1643241600,3.01,6430,90818,January,2022,,,,
1/28/22,1643328000,3.01,5327,96552,January,2022,,,,
1/29/22,1643414400,3,4800,99152,January,2022,,,,
1/30/22,1643500800,3,4394,99106,January,2022,,,,
1/31/22,1643587200,3.01,4008,100904,January,2022,,,,
2/1/22,1643673600,3,4014,100105,February,2022,,,,
2/2/22,1643760000,3,4521,97084,February,2022,,,,
2/3/22,1643846400,3,3951,100990,February,2022,,,,
2/4/22,1643932800,3.01,4924,95909,February,2022,,,,
2/5/22,1644019200,3,5202,97662,February,2022,,,,
2/6/22,1644105600,3,5793,95636,February,2022,,,,
2/7/22,1644192000,3,4960,95696,February,2022,,,,
2/8/22,1644278400,3,5791,91455,February,2022,,,,
2/9/22,1644364800,3,4825,94473,February,2022,,,,
2/10/22,1644451200,3,4597,95377,February,2022,,,,
2/11/22,1644537600,3.01,4469,95880,February,2022,,,,
2/12/22,1644624000,3.01,4120,101246,February,2022,,,,
2/13/22,1644710400,3,4044,100641,February,2022,,,,
2/14/22,1644796800,3,4607,97288,February,2022,,,,
2/15/22,1644883200,3.02,4631,98023,February,2022,,,,
2/16/22,1644969600,3.01,4650,94547,February,2022,,,,
2/17/22,1645056000,3.01,4944,95029,February,2022,,,,
2/18/22,1645142400,3.01,4890,94650,February,2022,,,,
2/19/22,1645228800,3.01,4335,96514,February,2022,,,,
2/20/22,1645315200,3.01,4767,95108,February,2022,,,,
2/21/22,1645401600,3.01,6011,88205,February,2022,,,,
2/22/22,1645488000,3.02,5380,92993,February,2022,,,,
2/23/22,1645574400,3,7520,84885,February,2022,,,,
2/24/22,1645660800,3.01,11250,69234,February,2022,,,,
2/25/22,1645747200,3.01,9884,74398,February,2022,,,,
2/26/22,1645833600,3.01,8114,83522,February,2022,,,,
2/27/22,1645920000,3.01,7576,85858,February,2022,,,,
2/28/22,1646006400,3.01,7576,85340,February,2022,,,,
3/1/22,1646092800,3.02,6851,88252,March,2022,,,,
3/2/22,1646179200,3.01,8229,82049,March,2022,,,,
3/3/22,1646265600,3.01,7367,84608,March,2022,,,,
3/4/22,1646352000,3.01,5692,93021,March,2022,,,,
3/5/22,1646438400,3.01,5262,93910,March,2022,,,,
3/6/22,1646524800,3.03,7786,77657,March,2022,,,,
3/7/22,1646611200,3.01,7220,84419,March,2022,,,,
3/8/22,1646697600,3.02,7315,85329,March,2022,,,,
3/9/22,1646784000,3.02,6118,88175,March,2022,,,,
3/10/22,1646870400,3.03,6232,88306,March,2022,,,,
3/11/22,1646956800,3.01,6079,87900,March,2022,,,,
3/12/22,1647043200,3,5933,88416,March,2022,,,,
3/13/22,1647129600,3,5524,87067,March,2022,,,,
3/14/22,1647216000,3.02,5529,86495,March,2022,,,,
3/15/22,1647302400,3.01,5557,87428,March,2022,,,,
3/16/22,1647388800,3.01,5677,86816,March,2022,,,,
3/17/22,1647475200,3.01,5024,88504,March,2022,,,,
3/18/22,1647561600,3.02,4531,88515,March,2022,,,,
3/19/22,1647648000,3.02,4756,87631,March,2022,,,,
3/20/22,1647734400,3.03,3863,89972,March,2022,,,,
3/21/22,1647820800,3.07,4272,89738,March,2022,,,,
3/22/22,1647907200,3.04,5412,84732,March,2022,,,,
3/23/22,1647993600,3.01,4440,88536,March,2022,,,,
3/24/22,1648080000,3.01,5390,83160,March,2022,,,,
3/25/22,1648166400,3.01,5614,83543,March,2022,,,,
3/26/22,1648252800,3.01,4722,85459,March,2022,,,,
3/27/22,1648339200,3.01,4236,86441,March,2022,,,,
3/28/22,1648425600,3.01,5085,86482,March,2022,,,,
3/29/22,1648512000,3.02,4765,88425,March,2022,,,,
3/30/22,1648598400,3.12,4781,87555,March,2022,,,,
3/31/22,1648684800,3.01,5760,82200,March,2022,,,,
4/1/22,1648771200,3.03,5827,81814,April,2022,,,,
4/2/22,1648857600,3.02,4784,84302,April,2022,,,,
4/3/22,1648944000,3.02,5100,81880,April,2022,,,,
4/4/22,1649030400,3.04,4267,86948,April,2022,,,,
4/5/22,1649116800,3.01,4841,84452,April,2022,,,,
4/6/22,1649203200,3.02,6587,79724,April,2022,,,,
4/7/22,1649289600,3.01,5341,84143,April,2022,,,,
4/8/22,1649376000,3.02,5267,84077,April,2022,,,,
4/9/22,1649462400,3,4249,85870,April,2022,,,,
4/10/22,1649548800,3,4338,82612,April,2022,,,,
4/11/22,1649635200,3,5527,79575,April,2022,,,,
4/12/22,1649721600,3.02,5189,81516,April,2022,,,,
4/13/22,1649808000,3,5788,78743,April,2022,,,,
4/14/22,1649894400,3.01,5038,82554,April,2022,,,,
4/15/22,1649980800,3.03,4516,83929,April,2022,,,,
4/16/22,1650067200,3.01,3783,86572,April,2022,,,,
4/17/22,1650153600,3.02,4056,85704,April,2022,,,,
4/18/22,1650240000,3.08,6006,76684,April,2022,,,,
4/19/22,1650326400,3.01,5176,80979,April,2022,,,,
4/20/22,1650412800,3.01,4491,85186,April,2022,,,,
4/21/22,1650499200,3.01,4803,81996,April,2022,,,,
4/22/22,1650585600,3.01,4500,80451,April,2022,,,,
4/23/22,1650672000,3.02,3565,79532,April,2022,,,,
4/24/22,1650758400,3,4173,75204,April,2022,,,,
4/25/22,1650844800,3.03,5806,70604,April,2022,,,,
4/26/22,1650931200,3.02,5665,69106,April,2022,,,,
4/27/22,1651017600,3.02,4950,74996,April,2022,,,,
4/28/22,1651104000,3.03,5971,71021,April,2022,,,,
4/29/22,1651190400,3.04,7177,64528,April,2022,,,,
4/30/22,1651276800,3.02,8235,57617,April,2022,,,,
5/1/22,1651363200,3.03,8683,57592,May,2022,,,,
5/2/22,1651449600,3.01,7018,62221,May,2022,,,,
5/3/22,1651536000,3.02,5164,72210,May,2022,,,,
5/4/22,1651622400,3.01,4907,76657,May,2022,,,,
5/5/22,1651708800,3.01,5374,75743,May,2022,,,,
5/6/22,1651795200,3.01,5271,73724,May,2022,,,,
5/7/22,1651881600,3.01,4543,76345,May,2022,,,,
5/8/22,1651968000,3.05,5268,75689,May,2022,,,,
5/9/22,1652054400,3.01,7546,70155,May,2022,,,,
5/10/22,1652140800,3.01,8585,67857,May,2022,,,,
5/11/22,1652227200,3.11,10549,59550,May,2022,,,,
5/12/22,1652313600,3.04,12857,54397,May,2022,,,,
5/13/22,1652400000,3.08,11127,62971,May,2022,,,,
5/14/22,1652486400,3.05,7932,70933,May,2022,,,,
5/15/22,1652572800,3.04,7897,71238,May,2022,,,,
5/16/22,1652659200,3.07,7285,74318,May,2022,,,,
5/17/22,1652745600,3.04,6287,73125,May,2022,,,,
5/18/22,1652832000,3.02,7031,71369,May,2022,,,,
5/19/22,1652918400,3.02,7451,73884,May,2022,,,,
5/20/22,1653004800,3.01,7242,73998,May,2022,,,,
5/21/22,1653091200,3.01,8042,72915,May,2022,,,,
5/22/22,1653177600,3.01,7920,73960,May,2022,,,,
5/23/22,1653264000,3.01,9034,73466,May,2022,,,,
5/24/22,1653350400,3.01,7912,73163,May,2022,,,,
5/25/22,1653436800,3.02,7384,74418,May,2022,,,,
5/26/22,1653523200,3.04,7902,72901,May,2022,,,,
5/27/22,1653609600,3.01,7673,72900,May,2022,,,,
5/28/22,1653696000,3.03,6535,74658,May,2022,,,,
5/29/22,1653782400,3.02,6542,74000,May,2022,,,,
5/30/22,1653868800,3.02,7761,71715,May,2022,,,,
5/31/22,1653955200,3.01,7189,73985,May,2022,,,,
6/1/22,1654041600,3.02,6873,74660,June,2022,,,,
6/2/22,1654128000,3.02,7346,73429,June,2022,,,,
6/3/22,1654214400,3.02,6604,75513,June,2022,,,,
6/4/22,1654300800,3.02,6272,75107,June,2022,,,,
6/5/22,1654387200,3.02,6334,75177,June,2022,,,,
6/6/22,1654473600,3.04,7362,74679,June,2022,,,,
6/7/22,1654560000,3.01,7535,73621,June,2022,,,,
6/8/22,1654646400,3.02,7109,73807,June,2022,,,,
6/9/22,1654732800,3.03,7249,72608,June,2022,,,,
6/10/22,1654819200,3.02,8220,72826,June,2022,,,,
6/11/22,1654905600,3.02,8233,73360,June,2022,,,,
6/12/22,1654992000,3.02,9101,71055,June,2022,,,,
6/13/22,1655078400,3.02,8491,73163,June,2022,,,,
6/14/22,1655164800,3.01,7434,73999,June,2022,,,,
6/15/22,1655251200,3.02,8341,72403,June,2022,,,,
6/16/22,1655337600,3.03,8177,71087,June,2022,,,,
6/17/22,1655424000,3.01,7588,72529,June,2022,,,,
6/18/22,1655510400,3.01,8261,70039,June,2022,,,,
6/19/22,1655596800,3.01,6869,74623,June,2022,,,,
6/20/22,1655683200,3.02,8105,73626,June,2022,,,,
6/21/22,1655769600,3,8158,71521,June,2022,,,,
6/22/22,1655856000,1993.03,7914,73481,June,2022,,,,
6/23/22,1655942400,3,7307,73912,June,2022,,,,
6/24/22,1656028800,3.02,8061,73810,June,2022,,,,
6/25/22,1656115200,3,7037,77799,June,2022,,,,
6/26/22,1656201600,3,7087,78841,June,2022,,,,
6/27/22,1656288000,3,6993,78124,June,2022,,,,
6/28/22,1656374400,3.01,7443,77309,June,2022,,,,
6/29/22,1656460800,3,7816,76170,June,2022,,,,
6/30/22,1656547200,3.01,7520,75780,June,2022,,,,
7/1/22,1656633600,3,7053,72817,July,2022,,,,
7/2/22,1656720000,3,5414,78091,July,2022,,,,
7/3/22,1656806400,3,5708,77325,July,2022,,,,
7/4/22,1656892800,3,5383,79171,July,2022,,,,
7/5/22,1656979200,3,6854,77101,July,2022,,,,
7/6/22,1657065600,3,5827,77032,July,2022,,,,
7/7/22,1657152000,3.01,6267,74400,July,2022,,,,
7/8/22,1657238400,3,5854,75859,July,2022,,,,
7/9/22,1657324800,3,5518,77201,July,2022,,,,
7/10/22,1657411200,3,8176,76319,July,2022,,,,
7/11/22,1657497600,3,7776,68158,July,2022,,,,
7/12/22,1657584000,3,5764,70898,July,2022,,,,
7/13/22,1657670400,3,6644,72930,July,2022,,,,
7/14/22,1657756800,3,6649,74002,July,2022,,,,
7/15/22,1657843200,3.01,7119,72637,July,2022,,,,
7/16/22,1657929600,3.01,5557,72986,July,2022,,,,
7/17/22,1658016000,3,6176,71989,July,2022,,,,
7/18/22,1658102400,3,9003,70214,July,2022,,,,
7/19/22,1658188800,3,9850,67984,July,2022,,,,
7/20/22,1658275200,3.01,8518,69041,July,2022,,,,
7/21/22,1658361600,3.01,8065,69446,July,2022,,,,
7/22/22,1658448000,3.03,7594,69069,July,2022,,,,
7/23/22,1658534400,3.02,8503,68969,July,2022,,,,
7/24/22,1658620800,3.01,6515,70725,July,2022,,,,
7/25/22,1658707200,3.01,7003,69521,July,2022,,,,
7/26/22,1658793600,3.01,6462,70704,July,2022,,,,
7/27/22,1658880000,3.01,6536,68536,July,2022,,,,
7/28/22,1658966400,3.01,7240,68433,July,2022,,,,
7/29/22,1659052800,3.01,8411,66958,July,2022,,,,
7/30/22,1659139200,3.02,8496,66481,July,2022,,,,
7/31/22,1659225600,3,7301,70248,July,2022,,,,
8/1/22,1659312000,3,7600,69701,August,2022,,,,
8/2/22,1659398400,3.01,7342,69810,August,2022,,,,
8/3/22,1659484800,3,6279,70730,August,2022,,,,
8/4/22,1659571200,3,8479,66941,August,2022,,,,
8/5/22,1659657600,3.01,7187,67046,August,2022,,,,
8/6/22,1659744000,3,5736,68149,August,2022,,,,
8/7/22,1659830400,2128.93,5657,67890,August,2022,,,,
8/8/22,1659916800,3,7112,66148,August,2022,,,,
8/9/22,1660003200,3.01,7141,68445,August,2022,,,,
8/10/22,1660089600,3,8330,66811,August,2022,,,,
8/11/22,1660176000,3,6215,67927,August,2022,,,,
8/12/22,1660262400,3,6095,69631,August,2022,,,,
8/13/22,1660348800,3,5075,70627,August,2022,,,,
8/14/22,1660435200,3,4915,70941,August,2022,,,,
8/15/22,1660521600,3.02,6706,68768,August,2022,,,,
8/16/22,1660608000,3,5592,70445,August,2022,,,,
8/17/22,1660694400,3,5918,69452,August,2022,,,,
8/18/22,1660780800,3.01,5745,68753,August,2022,,,,
8/19/22,1660867200,3,7749,67266,August,2022,,,,
8/20/22,1660953600,3,6013,69852,August,2022,,,,
8/21/22,1661040000,3,4537,71492,August,2022,,,,
8/22/22,1661126400,3,5772,69378,August,2022,,,,
8/23/22,1661212800,3,5896,68759,August,2022,,,,
8/24/22,1661299200,3,5085,69894,August,2022,,,,
8/25/22,1661385600,3.01,4924,70495,August,2022,,,,
8/26/22,1661472000,3.01,6183,66820,August,2022,,,,
8/27/22,1661558400,3,4702,70728,August,2022,,,,
8/28/22,1661644800,3,4839,68367,August,2022,,,,
8/29/22,1661731200,3,5704,70619,August,2022,,,,
8/30/22,1661817600,3.01,6108,68339,August,2022,,,,
8/31/22,1661904000,3.01,6049,66195,August,2022,,,,
9/1/22,1661990400,3.01,5564,68598,September,2022,,,,
9/2/22,1662076800,3.01,5531,68041,September,2022,,,,
9/3/22,1662163200,3,4971,67922,September,2022,,,,
9/4/22,1662249600,3,4462,68533,September,2022,,,,
9/5/22,1662336000,3.03,5448,68233,September,2022,,,,
9/6/22,1662422400,3.01,7178,61285,September,2022,,,,
9/7/22,1662508800,3,6902,59169,September,2022,,,,
9/8/22,1662595200,3.01,6958,57475,September,2022,,,,
9/9/22,1662681600,3.01,8461,50796,September,2022,,,,
9/10/22,1662768000,3,7442,57134,September,2022,,,,
9/11/22,1662854400,3,5735,62708,September,2022,,,,
9/12/22,1662940800,3,7101,59300,September,2022,,,,
9/13/22,1663027200,3,7049,52643,September,2022,,,,
9/14/22,1663113600,3,5503,58865,September,2022,,,,
9/15/22,1663200000,3.04,6077,57133,September,2022,,,,
9/16/22,1663286400,3.06,5259,67036,September,2022,,,,
9/17/22,1663372800,3.02,4059,71005,September,2022,,,,
9/18/22,1663459200,3.02,4465,69458,September,2022,,,,
9/19/22,1663545600,3.03,5283,72210,September,2022,,,,
9/20/22,1663632000,3.02,4348,74881,September,2022,,,,
9/21/22,1663718400,3.01,5384,72598,September,2022,,,,
9/22/22,1663804800,3.02,4443,76230,September,2022,,,,
9/23/22,1663891200,3.02,4887,75923,September,2022,,,,
9/24/22,1663977600,3.02,3343,77515,September,2022,,,,
9/25/22,1664064000,3.01,3335,77412,September,2022,,,,
9/26/22,1664150400,3.05,4557,75553,September,2022,,,,
9/27/22,1664236800,3.03,4554,74181,September,2022,,,,
9/28/22,1664323200,3.06,4611,73906,September,2022,,,,
9/29/22,1664409600,3.13,4216,74936,September,2022,,,,
9/30/22,1664496000,3.07,3682,76694,September,2022,,,,
10/1/22,1664582400,3.02,2680,78037,October,2022,,,,
10/2/22,1664668800,3.02,3228,75384,October,2022,,,,
10/3/22,1664755200,3.1,3120,77360,October,2022,,,,
10/4/22,1664841600,3.06,3745,77009,October,2022,,,,
10/5/22,1664928000,3.06,3760,77930,October,2022,,,,
