Date(UTC),UnixTimeStamp,Block Count,Block Size,Block Time,Month,Year,,,,,,,
7/21/20,1595289600,17280,803,5,July,2020,,,,,,,
7/22/20,1595376000,17280,802,5,July,2020,,,,,,,
7/23/20,1595462400,17280,801,5,July,2020,,,,,,,
7/24/20,1595548800,17280,803,5,July,2020,,,,,,,
7/25/20,1595635200,17280,800,5,July,2020,,,,,,,
7/26/20,1595721600,17280,801,5,July,2020,,,,,,,
7/27/20,1595808000,17280,802,5,July,2020,,,,,,,
7/28/20,1595894400,17280,803,5,July,2020,,,,,,,
7/29/20,1595980800,17278,801,5,July,2020,,,,,,,
7/30/20,1596067200,17280,808,5,July,2020,,,,,,,
7/31/20,1596153600,17280,806,5,July,2020,,,,,,,
8/1/20,1596240000,17280,832,5,August,2020,,,,,,,
8/2/20,1596326400,17280,838,5,August,2020,,,,,,,
8/3/20,1596412800,17279,834,5,August,2020,,,,,,,
8/4/20,1596499200,17280,888,5,August,2020,,,,,,,
8/5/20,1596585600,17275,840,5,August,2020,,,,,,,
8/6/20,1596672000,17273,891,5,August,2020,,,,,,,
8/7/20,1596758400,17280,806,5,August,2020,,,,,,,
8/8/20,1596844800,17280,805,5,August,2020,,,,,,,
8/9/20,1596931200,17279,803,5,August,2020,,,,,,,
8/10/20,1597017600,17280,806,5,August,2020,,,,,,,
8/11/20,1597104000,17263,829,5,August,2020,,,,,,,
8/12/20,1597190400,17280,892,5,August,2020,,,,,,,
8/13/20,1597276800,17279,887,5,August,2020,,,,,,,
8/14/20,1597363200,17280,900,5,August,2020,,,,,,,
8/15/20,1597449600,17279,861,5,August,2020,,,,,,,
8/16/20,1597536000,17278,820,5,August,2020,,,,,,,
8/17/20,1597622400,17280,825,5,August,2020,,,,,,,
8/18/20,1597708800,17279,832,5,August,2020,,,,,,,
8/19/20,1597795200,17280,818,5,August,2020,,,,,,,
8/20/20,1597881600,17280,806,5,August,2020,,,,,,,
8/21/20,1597968000,17280,818,5,August,2020,,,,,,,
8/22/20,1598054400,17280,815,5,August,2020,,,,,,,
8/23/20,1598140800,17280,810,5,August,2020,,,,,,,
8/24/20,1598227200,17273,808,5,August,2020,,,,,,,
8/25/20,1598313600,17274,813,5,August,2020,,,,,,,
8/26/20,1598400000,17279,838,5,August,2020,,,,,,,
8/27/20,1598486400,17279,873,5,August,2020,,,,,,,
8/28/20,1598572800,17277,848,5,August,2020,,,,,,,
8/29/20,1598659200,17279,850,5,August,2020,,,,,,,
8/30/20,1598745600,17279,808,5,August,2020,,,,,,,
8/31/20,1598832000,17280,809,5,August,2020,,,,,,,
9/1/20,1598918400,17276,820,5,September,2020,,,,,,,
9/2/20,1599004800,17280,839,5,September,2020,,,,,,,
9/3/20,1599091200,17280,855,5,September,2020,,,,,,,
9/4/20,1599177600,17280,888,5,September,2020,,,,,,,
9/5/20,1599264000,17280,849,5,September,2020,,,,,,,
9/6/20,1599350400,17280,829,5,September,2020,,,,,,,
9/7/20,1599436800,17276,817,5,September,2020,,,,,,,
9/8/20,1599523200,17270,817,5,September,2020,,,,,,,
9/9/20,1599609600,17280,842,5,September,2020,,,,,,,
9/10/20,1599696000,17280,814,5,September,2020,,,,,,,
9/11/20,1599782400,17280,811,5,September,2020,,,,,,,
9/12/20,1599868800,17279,812,5,September,2020,,,,,,,
9/13/20,1599955200,17280,807,5,September,2020,,,,,,,
9/14/20,1600041600,17280,827,5,September,2020,,,,,,,
9/15/20,1600128000,17280,894,5,September,2020,,,,,,,
9/16/20,1600214400,17280,881,5,September,2020,,,,,,,
9/17/20,1600300800,17280,929,5,September,2020,,,,,,,
9/18/20,1600387200,17280,901,5,September,2020,,,,,,,
9/19/20,1600473600,17276,897,5,September,2020,,,,,,,
9/20/20,1600560000,17280,908,5,September,2020,,,,,,,
9/21/20,1600646400,17279,949,5,September,2020,,,,,,,
9/22/20,1600732800,17260,917,5.01,September,2020,,,,,,,
