Date(UTC),UnixTimeStamp,Average Block Size,Block Time,Block Count,Month,Year, eth rev per day ,Block Size * Block Count,Cost Per Byte,,,
8/20/22,1660953600,83389,13.33,6353,August,2022,"$2,634,674.18 ",529770317,$0.00 ,,,
8/21/22,1661040000,83510,13.32,6363,August,2022,"$2,459,445.66 ",531374130,$0.00 ,,,
8/22/22,1661126400,84822,13.59,6264,August,2022,"$2,978,444.87 ",531325008,$0.01 ,,,
8/23/22,1661212800,85672,13.33,6353,August,2022,"$2,543,325.69 ",544274216,$0.00 ,,,
8/24/22,1661299200,81861,13.6,6256,August,2022,"$1,604,315.65 ",512122416,$0.00 ,,,
8/25/22,1661385600,85523,13.61,6210,August,2022,"$1,542,994.36 ",531097830,$0.00 ,,,
8/26/22,1661472000,86425,13.62,6237,August,2022,"$2,887,783.90 ",539032725,$0.01 ,,,
8/27/22,1661558400,86452,13.62,6236,August,2022,"$3,401,639.56 ",539114672,$0.01 ,,,
8/28/22,1661644800,90059,13.63,6239,August,2022,"$3,533,297.70 ",561878101,$0.01 ,,,
8/29/22,1661731200,94421,13.45,6327,August,2022,"$2,540,425.05 ",597401667,$0.00 ,,,
8/30/22,1661817600,98774,13.71,6211,August,2022,"$1,495,138.31 ",613485314,$0.00 ,,,
8/31/22,1661904000,89864,13.57,6250,August,2022,"$1,674,879.91 ",561650000,$0.00 ,,,
9/1/22,1661990400,79538,13.61,6262,September,2022,"$2,121,166.62 ",498066956,$0.00 ,,,
9/2/22,1662076800,76642,13.47,6293,September,2022,"$2,900,181.59 ",482308106,$0.01 ,,,
9/3/22,1662163200,73329,13.67,6200,September,2022,"$3,767,275.86 ",454639800,$0.01 ,,,
9/4/22,1662249600,73811,13.53,6269,September,2022,"$4,041,413.73 ",462721159,$0.01 ,,,
9/5/22,1662336000,75633,13.79,6171,September,2022,"$3,983,601.27 ",466731243,$0.01 ,,,
9/6/22,1662422400,80446,13.6,6259,September,2022,"$2,453,830.17 ",503511514,$0.00 ,,,
9/7/22,1662508800,81261,13.66,6218,September,2022,"$2,123,689.39 ",505280898,$0.00 ,,,
9/8/22,1662595200,79663,13.58,6292,September,2022,"$3,298,552.64 ",501239596,$0.01 ,,,
9/9/22,1662681600,81196,14,6065,September,2022,"$3,403,875.82 ",492453740,$0.01 ,,,
9/10/22,1662768000,74220,14.07,6044,September,2022,"$2,521,336.19 ",448585680,$0.01 ,,,
9/11/22,1662854400,77615,13.99,6066,September,2022,"$3,385,136.31 ",470812590,$0.01 ,,,
9/12/22,1662940800,81240,14,6047,September,2022,"$2,053,106.01 ",491258280,$0.00 ,,,
9/13/22,1663027200,79714,14.02,6064,September,2022,"$1,405,994.49 ",483385696,$0.00 ,,,
9/14/22,1663113600,77833,14.4,5909,September,2022,"$1,580,565.88 ",459915197,$0.00 ,,,
9/15/22,1663200000,75375,12.77,6727,September,2022,"$2,007,605.75 ",507047625,$0.00 ,,,
9/16/22,1663286400,76255,12.18,7092,September,2022,"$2,156,505.09 ",540800460,$0.00 ,,,
9/17/22,1663372800,71667,12.12,7130,September,2022,"$2,342,072.28 ",510985710,$0.00 ,,,
9/18/22,1663459200,78827,12.12,7130,September,2022,"$1,913,945.89 ",562036510,$0.00 ,,,
9/19/22,1663545600,81423,12.13,7125,September,2022,"$1,770,065.05 ",580138875,$0.00 ,,,
9/20/22,1663632000,83552,12.1,7138,September,2022,"$1,200,601.11 ",596394176,$0.00 ,,,
9/21/22,1663718400,83557,12.25,7054,September,2022,"$1,435,539.90 ",589411078,$0.00 ,,,
9/22/22,1663804800,83198,12.08,7152,September,2022,"$2,232,663.64 ",595032096,$0.00 ,,,
9/23/22,1663891200,81450,12.06,7167,September,2022,,583752150, $-   ,,,
9/24/22,1663977600,74354,12.05,7168,September,2022,,532969472, $-   ,,,
9/25/22,1664064000,73322,12.05,7168,September,2022,,525572096, $-   ,,,
9/26/22,1664150400,79885,12.09,7148,September,2022,,571017980, $-   ,,,
9/27/22,1664236800,78742,12.1,7141,September,2022,,562296622, $-   ,,,
9/28/22,1664323200,78203,12.06,7162,September,2022,,560089886, $-   ,,,
9/29/22,1664409600,76732,12.08,7154,September,2022,,548940728, $-   ,,,
9/30/22,1664496000,76758,12.06,7162,September,2022,,549740796, $-   ,,,
10/1/22,1664582400,79346,12.11,7137,October,2022,,566292402, $-   ,,,
10/2/22,1664668800,79320,12.04,7175,October,2022,,569121000, $-   ,,,
10/3/22,1664755200,76479,12.07,7157,October,2022,,547360203, $-   ,,,
10/4/22,1664841600,83567,12.11,7132,October,2022,,595999844, $-   ,,,
10/5/22,1664928000,86099,12.09,7148,October,2022,,615435652, $-   ,,,
