Date(UTC),UnixTimeStamp,Block Count,Block Size,Block Time,Month,Year,,,,,,,,,
12/13/20,1607817600,3,1031,44893.67,December,2020,,,,,,,,,
12/14/20,1607904000,2,961,51151.5,December,2020,,,,,,,,,
12/15/20,1607990400,2,0,0,December,2020,,,,,,,,,
12/16/20,1608076800,26,815,7541.5,December,2020,,,,,,,,,
12/17/20,1608163200,1,750,38104,December,2020,,,,,,,,,
12/18/20,1608249600,52,987,2452.81,December,2020,,,,,,,,,
12/19/20,1608336000,179,824,533.08,December,2020,,,,,,,,,
12/20/20,1608422400,3850,783,22.44,December,2020,,,,,,,,,
12/21/20,1608508800,4300,783,20.09,December,2020,,,,,,,,,
12/22/20,1608595200,1305,782,57.58,December,2020,,,,,,,,,
12/23/20,1608681600,5,796,13091.4,December,2020,,,,,,,,,
12/24/20,1608768000,4,815,25565.25,December,2020,,,,,,,,,
12/25/20,1608854400,4,0,0,December,2020,,,,,,,,,
12/26/20,1608940800,4,0,0,December,2020,,,,,,,,,
12/27/20,1609027200,2,816,111731.5,December,2020,,,,,,,,,
12/28/20,1609113600,550,782,251.75,December,2020,,,,,,,,,
12/29/20,1609200000,2692,782,32.1,December,2020,,,,,,,,,
12/30/20,1609286400,2736,782,31.58,December,2020,,,,,,,,,
12/31/20,1609372800,2605,782,33.17,December,2020,,,,,,,,,
1/1/21,1609459200,1851,833,43.3,January,2021,,,,,,,,,
1/2/21,1609545600,12,1378,6013.25,January,2021,,,,,,,,,
1/3/21,1609632000,41,971,1931.02,January,2021,,,,,,,,,
1/4/21,1609718400,20,2762,4684.6,January,2021,,,,,,,,,
1/5/21,1609804800,3,848,33793.67,January,2021,,,,,,,,,
1/6/21,1609891200,45,1091,1969.2,January,2021,,,,,,,,,
1/7/21,1609977600,42,1281,2134,January,2021,,,,,,,,,
1/8/21,1610064000,4285,827,20.16,January,2021,,,,,,,,,
1/9/21,1610150400,296,784,258.98,January,2021,,,,,,,,,
1/10/21,1610236800,5,951,19222.4,January,2021,,,,,,,,,
1/11/21,1610323200,1639,783,52.74,January,2021,,,,,,,,,
1/12/21,1610409600,363,808,228.64,January,2021,,,,,,,,,
1/13/21,1610496000,10,880,8726.6,January,2021,,,,,,,,,
1/14/21,1610582400,18,919,4785.94,January,2021,,,,,,,,,
1/15/21,1610668800,19,901,3962.68,January,2021,,,,,,,,,
1/16/21,1610755200,46,916,2153.74,January,2021,,,,,,,,,
1/17/21,1610841600,17,3010,4708.59,January,2021,,,,,,,,,
1/18/21,1610928000,23,918,3268.78,January,2021,,,,,,,,,
1/19/21,1611014400,29,2954,3609.59,January,2021,,,,,,,,,
1/20/21,1611100800,24,1167,3494.04,January,2021,,,,,,,,,
1/21/21,1611187200,10,799,8133.9,January,2021,,,,,,,,,
1/22/21,1611273600,45,1316,1992.73,January,2021,,,,,,,,,
1/23/21,1611360000,46,811,1941.5,January,2021,,,,,,,,,
1/24/21,1611446400,9,783,9294.67,January,2021,,,,,,,,,
1/25/21,1611532800,1024,3465,88.64,January,2021,,,,,,,,,
1/26/21,1611619200,606,3376,142.37,January,2021,,,,,,,,,
1/27/21,1611705600,181,1781,464.23,January,2021,,,,,,,,,
1/28/21,1611792000,214,1711,402.2,January,2021,,,,,,,,,
1/29/21,1611878400,4041,1950,22.15,January,2021,,,,,,,,,
1/30/21,1611964800,258,1659,335.11,January,2021,,,,,,,,,
1/31/21,1612051200,135,869,637.53,January,2021,,,,,,,,,
2/1/21,1612137600,101,2120,856.89,February,2021,,,,,,,,,
2/2/21,1612224000,382,1807,226.68,February,2021,,,,,,,,,
2/3/21,1612310400,6124,920,14.1,February,2021,,,,,,,,,
2/4/21,1612396800,4575,899,18.86,February,2021,,,,,,,,,
2/5/21,1612483200,3315,890,26.09,February,2021,,,,,,,,,
2/6/21,1612569600,2762,888,31.29,February,2021,,,,,,,,,
2/7/21,1612656000,2993,887,28.87,February,2021,,,,,,,,,
2/8/21,1612742400,3363,920,25.69,February,2021,,,,,,,,,
2/9/21,1612828800,16876,1212,5.12,February,2021,,,,,,,,,
2/10/21,1612915200,28659,892,2.89,February,2021,,,,,,,,,
2/11/21,1613001600,163,1456,550.75,February,2021,,,,,,,,,
2/12/21,1613088000,9445,895,9.18,February,2021,,,,,,,,,
2/13/21,1613174400,9720,865,8.89,February,2021,,,,,,,,,
2/14/21,1613260800,10173,870,8.49,February,2021,,,,,,,,,
2/15/21,1613347200,18042,877,4.79,February,2021,,,,,,,,,
2/16/21,1613433600,15526,871,5.57,February,2021,,,,,,,,,
2/17/21,1613520000,26096,877,3.31,February,2021,,,,,,,,,
2/18/21,1613606400,28886,902,2.99,February,2021,,,,,,,,,
2/19/21,1613692800,20767,933,4.16,February,2021,,,,,,,,,
2/20/21,1613779200,19079,916,4.53,February,2021,,,,,,,,,
2/21/21,1613865600,16018,898,5.39,February,2021,,,,,,,,,
2/22/21,1613952000,14960,912,5.78,February,2021,,,,,,,,,
2/23/21,1614038400,11939,904,7.24,February,2021,,,,,,,,,
2/24/21,1614124800,14118,894,6.12,February,2021,,,,,,,,,
2/25/21,1614211200,22710,929,3.8,February,2021,,,,,,,,,
2/26/21,1614297600,15173,894,5.69,February,2021,,,,,,,,,
2/27/21,1614384000,15495,890,5.58,February,2021,,,,,,,,,
2/28/21,1614470400,14112,1013,6.12,February,2021,,,,,,,,,
3/1/21,1614556800,15538,928,5.56,March,2021,,,,,,,,,
3/2/21,1614643200,15843,935,5.46,March,2021,,,,,,,,,
3/3/21,1614729600,18554,1039,4.66,March,2021,,,,,,,,,
3/4/21,1614816000,20599,972,4.19,March,2021,,,,,,,,,
3/5/21,1614902400,11868,923,7.28,March,2021,,,,,,,,,
3/6/21,1614988800,10271,923,8.41,March,2021,,,,,,,,,
3/7/21,1615075200,12018,913,7.19,March,2021,,,,,,,,,
3/8/21,1615161600,13468,947,6.42,March,2021,,,,,,,,,
3/9/21,1615248000,19387,959,4.46,March,2021,,,,,,,,,
3/10/21,1615334400,15644,931,5.52,March,2021,,,,,,,,,
3/11/21,1615420800,14084,921,6.14,March,2021,,,,,,,,,
3/12/21,1615507200,14484,937,5.96,March,2021,,,,,,,,,
3/13/21,1615593600,13681,938,6.32,March,2021,,,,,,,,,
3/14/21,1615680000,14961,903,5.78,March,2021,,,,,,,,,
3/15/21,1615766400,15213,912,5.68,March,2021,,,,,,,,,
3/16/21,1615852800,16572,922,5.21,March,2021,,,,,,,,,
3/17/21,1615939200,15008,902,5.76,March,2021,,,,,,,,,
