,compound,swapr-ethereum,swapr-xdai,swapr-arbitrum,polymarket,balancer-v1,balancerv2,balancerv2-polygon,balancerv2-arbitrum,pangolin,maker,bsc,polkadot,kusama,liquity,curve-ethereum,curve-arbitrum,curve-polygon,curve-avalanche,curve-fantom,curve-xdai,curve-optimism,osmosis,solana,abracadabra-ethereum,abracadabra-fantom,abracadabra-avalanche,abracadabra-bsc,abracadabra-arbitrum-one,polygon-pos,terra-tx-fees,terra-swap-fees,velodrome,arbitrum-one,hop-optimism,hop-gnosis-chain,hop-arbitrum,hop-polygon,sushiswap-ethereum,sushiswap-polygon,sushiswap-fantom,sushiswap-arbitrum-one,sushiswap-avalanche,sushiswap-binance,aave-v1,aave-v2,aave-v2-amm,aave-v2-polygon-proto,aave-v3-polygon-proto,aave-v2-avalanche-proto,aave-v3-avalanche-proto,aave-v3-optimism-proto,aave-v3-arbitrum-proto,aave-v3-fantom-proto,aave-v3-harmony-proto,synthetix-ethereum,synthetix-optimism,synthetix-optimism-futures,ribbon,near,optimism,gnosis-chain,honeyswap,quickswap,evmos,eos,fantom,ren,trader-joe,terraswap,lyra,eth,btc,ltc,ada,xtz,bsv,bch,xrp,doge,xmr,xlm,dcr,etc,avalanche-p-chain,avalanche-c-chain,avalanche-x-chain,mycelium-arbitrum,spookyswap,kyberswap-ethereum,kyberswap-arbitrum-one,kyberswap-aurora,kyberswap-avalanche,kyberswap-binance,kyberswap-bittorrent,kyberswap-cronos,kyberswap-fantom,kyberswap-oasis,kyberswap-optimism,kyberswap-polygon,kyberswap-velas,uniswap-v1,uniswap-v2,uniswap-v3,uniswap-optimism,uniswap-arbitrum,uniswap-polygon,tornado-ethereum,gmx-arbitrum,gmx-avax,ens
2021-12-01,919474.5640843834,111.91953408097035,777.1165384604872,970.3819247840374,2935.242988000158,23872.814922839403,1443329.0043662973,99901.42134643812,17447.91237075813,227549.98389895554,412150.27399048756,7240187.134411084,8458.539200596337,157.30664149284917,23421.734749779105,601258.8918268847,5464.115237426664,24876.6875222168,5464.115237426664,13171.9220992357,,,114160.34729,236353.0950166917,140852.26762527227,6649.159327286528,23446.260210393928,0.0,5123.277778054355,105662.44746627363,82603.96792164314,997090.316405142,,185974.8576747179,12266.638051724904,755.5082173776848,20493.12856365743,20207.026339564436,1055178.8891361556,238197.90372558113,1783.711194474301,84696.3671268087,86.12834939706795,815.1623807826045,23633.826080263538,1101617.722879719,126.79012730343075,,,340382.69989101426,,,,,,48411.49131106538,4305.597973635479,5487.1875355747125,0.0,3580.2040789283196,136371.49298951004,9757.737296968791,1365.9919466053798,391175.2278616359,,1410.4394248752837,83721.34823123766,19169.548623921048,1416497.0440682229,397605.04562146205,0,62620320.02641717,1160676.5725381884,3932.8698930685687,45788.972269012294,5332.219999143327,3768.6330631353026,659.1227049632689,6964.092622142426,10763.19330959807,743.9080627713986,1931.0254844719911,260.3653285422125,288.2675795966974,84.13410302122294,345498.11894611135,1242.4648722457412,,458268.2333176822,5718.43020902951,0,0,3849.463940648343,2736.532758556079,0,0.0,125.47420681305029,0,0,2445.454983449138,0,235.76370625192558,1686442.7281638493,9581179.080449339,16889.54142955352,47830.21293418836,,30957.304039081093,153532.5449675083,,249152.61316553876
2021-12-02,925737.5972949726,150.62735971689526,843.7571054810137,2115.1707997412977,2975.122621999588,19232.79965633154,1132973.1262201257,40224.4164021872,9297.786806937307,201576.62492755326,414314.03713197005,6542318.071666529,9376.124028340339,251.4386536328241,32581.21241081506,635580.1643403465,4712.064794835644,12964.33809626329,4712.064794835644,15766.14894830459,,,166954.8881399999,245751.0925205812,651947.4992907457,5718.545201691799,20321.365451198537,0.013512067568574704,4102.780582189327,132805.48037394191,75657.44060324547,1942433.87365129,,139452.4306442578,12085.765892730766,1029.0048966047275,14903.406436808209,14283.524582408932,1153376.4242954482,286880.42960442725,2026.080257166444,65734.82647009264,54.511133303132254,966.8976830290288,48796.26490920465,1189089.5767216142,446.9272463795361,,,320655.8284942196,,,,,,11403.769417182535,5039.752289002067,5487.1875355747125,0.0,3443.6362778611424,111939.42014458995,5779.834204948638,1064.7254836186098,483012.0007073706,,1405.6638986034754,55277.00906140485,8693.341742687142,1558201.5702400892,418191.960108933,0,52833931.2067229,1053088.4918923804,3538.5415035162578,39518.55200941371,19251.773399477297,4226.445781897643,581.835954097158,4331.126589687897,12317.504512583051,635.932717865054,1113.6968075445373,254.92828425256081,287.9348910707502,54.02904843952967,585363.9548794605,753.7708239138709,,364840.4026804292,2345.6685786975977,0,0,2808.7199302039357,1851.3512191969976,0,0.0,122.79754182828653,0,0,3629.0156233446032,0,428.13351036015024,1795136.006375725,8986681.10382516,19302.070957954315,40103.572452385706,,25516.23344703298,176663.26770304595,,187958.55120588094
2021-12-03,899828.525470737,1160.3696589994015,731.5118148263064,924.7135330501578,3908.5523940003477,16541.88437026739,1202193.746383898,60317.81037159916,12076.866431961767,235919.88187823622,415248.2157517163,5032637.973646752,7099.264189093022,257.1817518723685,10557.741951689124,658994.5485367129,8608.824487617569,16130.963005765134,8608.824487617569,10775.217713580254,,,181344.30446,271822.9764248609,154502.27638003975,5978.669619936496,528083.1451706188,0.030176038916941872,4925.450853845337,145290.11540318656,93969.41513477072,2803814.13698759,,122811.52344544182,11866.612622995708,704.9360937848678,14317.807182758177,12787.474452167333,1299005.2648187983,273416.7688344888,2230.130774891574,102401.08367713727,68.02472340350175,809.6542887585028,45682.8819265585,1145379.1419326556,557.9414471370193,,,320680.09584029793,,,,,,57399.25147141913,12294.00254180044,5487.1875355747125,203340.3323898448,3840.093324280028,121572.04727695524,16701.223283625233,1954.309860837982,609947.8395231232,,1396.0454965118322,69195.83251698731,198909.5861635829,1996982.211061781,717466.489476579,0,45878831.80861955,718519.6595523183,3321.7811878806165,30606.569256556475,3824.8377081465574,2982.6187550521554,575.3800817601524,4163.28254362108,10888.664983208195,696.5938591791944,2451.057981800685,204.19753084682316,288.06071310842106,59.43897112289528,439487.823855796,956.1460965685521,,469630.95448804286,1931.1566986685357,0,0,3490.8929507887797,1616.031888644662,0,0.0,199.4280056158109,0,0,5846.92547588952,0,985.9249139982003,1582748.953320131,10119840.556248887,15736.786083650904,60910.06338218452,,24115.402382745408,286068.05075686355,,201480.88363750651
2021-12-04,903705.5936966072,329.6824282741087,1169.2222980189572,1621.717817519085,2354.1536459997296,33970.56823182106,1705894.9296533912,93492.8636338627,30033.754520323128,398838.5864989466,403566.4599644121,5219315.760354491,6244.2419417126475,168.69337703625453,64720.20767699228,1036551.5083106868,21227.21859500922,40922.60990927398,21227.21859500922,31361.648432518057,,,246335.37712,193371.60306259195,651176.4219868854,81450.55876364582,111797.26381913526,0.011271119780212446,16882.355069381418,288075.24666819687,113555.46435592743,3549165.45093493,,181037.99336360954,8696.267773561573,798.9479240304413,14109.772019849479,13598.166735208382,2457367.1602798565,321134.0877758476,4904.580754497952,167335.97768427085,338.8274041618287,2249.483304886491,32483.929066103792,813334.1965164673,643.8654246072745,,,302122.94403789495,,,,,,18762.64417133943,7993.418349179655,5487.1875355747125,0.0,4453.920884536868,291304.8034650465,71497.01646314505,1974.6522365436413,896309.0949377997,,1290.1128809036081,227103.0313222278,18117.598421748844,2629360.873376261,1734071.476064427,0,58845694.6427496,878325.0364876541,2811.3607444732584,34600.08859581503,8436.740365575348,3854.018219103322,511.1027083996639,5481.881276400846,11616.359423760532,537.735231249644,2482.3785777613507,277.66759538495245,275.3675304558923,105.86236185196405,741099.2642544736,968.2559524146886,,652224.5078074562,6155.691662416509,0,0,8049.639106202967,2194.7422822130575,0,0.0,445.5293752126436,0,0,5543.962147398879,0,766.0125978882668,2649488.92294854,14901735.434326032,26985.95142965894,88357.36137809008,,27664.84738812456,325218.6981702241,,155914.16391487047
2021-12-05,888276.0525454949,123.29994457415805,1362.2272598359204,664.6536548835405,2384.597497000359,19399.043176099658,350365.0970948264,63096.974573493935,8403.250252109487,229985.48516282582,391611.72834064724,5512088.936771171,5174.296674382549,167.3361163697085,24257.551101140678,510895.01706446277,8644.432751577793,16280.68082024651,8644.432751577793,13969.327285956548,,,156526.92943,225150.38898369166,1250045.4735303558,4341.550367471296,47759.414985222276,1682.9838861461815,9737.098574555712,83665.40230335013,83648.7537885982,3890798.46893987,,139784.11616095563,7715.391504633665,639.5329162831063,10452.11553147712,8540.581395824538,1060589.696261895,147202.69477140327,2030.1021753930113,67869.57320856102,25.74185618652257,886.1397989979592,14402.076519727027,687749.8075420026,119.46810101136471,,,312695.7744431508,,,,,,19741.551998846866,3890.412364856889,5487.1875355747125,0.0,3535.534481934159,142515.20828164788,23311.434517150716,1560.224001350758,313282.53784171573,,1059.035271638444,78104.44612809226,36273.25881108452,1793388.855514059,681208.806700563,0,42813383.08895282,1046410.31249582,2439.645252602036,30670.771310239492,3307.6577377860617,3853.718304446478,473.07523809550815,3186.3004598483176,9723.84346026776,588.1379103620924,2917.6950571318303,300.1320916945587,244.39181606025775,53.1092670317254,261354.51403567713,657.6682173438219,,539737.2717719572,1968.7253144029066,0,0,3629.530076832341,1063.288766612297,0,0.0,143.61212245456625,0,0,3421.8015616606176,0,604.830821605745,1541980.6071288204,8349067.829565106,13854.487278517332,57542.454820460756,,16005.457012365106,72066.30331705962,,162622.70321400464
2021-12-06,857115.1917673541,227.2846335593744,1293.9492374812155,1617.9952017137382,2343.7769199996255,29156.01013791561,227908.48715678602,49785.88893053215,17336.707354815677,296775.1879337538,387544.05824912805,5436708.258230526,5252.39485368944,146.30086224231425,64118.66520295292,650808.2385897394,15944.029749779085,23224.97549868792,15944.029749779085,26167.500499932634,,,156578.1374800001,222625.65691267853,271371.0580576062,15176.425751976669,78015.84351293463,1046.1732237544284,14105.852233369136,114167.44154127996,83697.201194224,1940307.90007219,,159329.80764162203,8825.252383550844,564.5550470609372,16678.411121667385,10523.791351635671,1575450.730721519,193393.28851490168,4421.673629445792,129396.40398673965,57.08620382823061,2493.252952470471,8326.607086507907,674194.8560553495,374.9083778718317,,,289648.7063772882,,,,,,71201.76688948325,3735.6899236020763,5487.1875355747125,0.0,3578.5827580239597,152774.9613722973,26869.7025997846,1256.0056915412574,490805.69784010295,,1009.9712554499101,119195.6392114356,12557.449901791146,2135917.4337705616,763157.900093745,0,46679090.58616768,673208.6742826988,2779.0267620568798,33636.54997157723,8664.78711096655,5041.5581645405455,513.5068063086179,4016.983570829117,10256.843817774845,640.9724551740904,1524.9657083332675,284.27634118704015,304.85547337764837,53.88460257224238,319664.2118708682,645.0475230337256,,682365.3371929749,3198.1282661647333,0,0,7583.684624256959,1498.2029128924698,0,0.0,283.6465479100982,0,0,7334.090057898333,0,702.4940761832279,2028796.8737897752,10699400.605825057,23169.77391429265,75038.76874613331,,28318.55508420989,88605.54496231968,,181340.25535868853
2021-12-07,874393.5151246754,164.98065061813,883.5911888931606,238.02387050353465,5246.355166000314,20695.75929710269,375136.84355318546,45275.00562791992,5555.5617008166155,193129.13010334704,384105.50033079326,5573333.894650536,5536.085697720706,228.92962326260437,30485.869831416756,325907.9952543009,4842.774399571595,18593.659207628218,4842.774399571595,11064.046885406951,,,116205.98663,218413.60992844633,126380.24009453133,4213.219673584681,42614.83344875323,72.78459946272778,9498.320240806323,105514.84344110214,67707.62752036485,1063220.97617381,,140870.89341211005,10775.720344441006,387.9827541116376,12577.228887954881,12822.132261697006,1022783.1509193567,147145.13662896398,3047.91830690077,82760.29834707934,39.16843464532685,1388.0379500208276,28778.67887640433,769796.5000149368,1347.159431733067,,,285639.8897038022,,,,,,45523.880743262955,5476.849906894884,5487.1875355747125,0.0,3507.4669235220663,92501.78031114824,12610.896956889834,1526.825493489048,456853.2720254241,,2181.581081313786,46511.26013022561,23324.48385768175,1602070.2015804742,602455.1521225589,0,40639663.508805566,545034.4811248981,2876.9109344904177,37824.65537602416,9919.522612042278,3155.693711119023,570.216682044918,5138.687624138066,9923.326718450777,630.73160411507,8886.717585447868,250.53912438139668,259.7435045558807,44.59569177882493,294869.4200056688,595.798442165101,,397378.3426207596,3054.4065843121534,0,0,3530.041713413881,3124.3546665236463,0,0.0,86.21264354022104,0,0,8560.988919006102,0,470.2080846810285,1355820.3021452741,6788248.192995877,14771.730809877095,42697.21388766931,,25038.755019203294,66543.32166557503,,190177.70778947324
2021-12-08,888138.1776433678,119.59471396238665,1047.4784966785278,501.26330089154766,6320.231931000017,20473.011155113578,333372.4171512872,39268.28410282079,7356.407497488894,148849.21626484304,385731.5772718282,4503546.450136068,5187.616883881389,314.7649953393358,9435.184417475015,376831.34012189345,14439.967065991797,23395.444834728336,14439.967065991797,15527.99566897912,,,160233.99649,224833.09436231945,233019.4728467539,4372.41391516896,34241.848156533204,101.03388486383801,4210.7472908087075,139857.35045108086,76662.5533968632,3532576.92302383,,192049.04729416448,8104.078966832317,560.5822679336528,7853.4242871650795,10814.067591057537,1119685.5917039183,138875.0455963924,2362.881917891906,87981.2358320774,45.263860300252915,1275.5794736085522,12097.90972251855,740435.6706302494,1098.2574894609008,,,289470.3807457284,,,,,,78886.65824099799,6784.277939762937,5487.1875355747125,0.0,4417.609917979026,99271.05339278489,21955.630836357384,1375.5263578789427,395600.19600599975,,2133.2580086962116,46196.701788980055,88358.9563989359,1381150.6439753384,478899.036374169,0,35685618.2721586,540776.14133561,2794.2870611995086,37548.134044090606,8712.644370442647,5437.264701538803,666.6914627996211,21997.156542754055,9345.36464671033,736.9691059136717,8159.657461903656,212.21704598715957,235.13449074662958,44.41835141209159,348417.1450928435,548.3418507115371,,372563.24629116803,1331.315477949607,0,0,3572.793857578781,6196.304334553896,0,0.0,95.48916820314554,0,0,15716.496728712784,0,282.76518600303586,1314175.2512096614,7108460.605343319,18135.62666434603,70255.0611174593,,18369.830077528022,126325.5954641378,,220007.21874175593
2021-12-09,881025.7633497638,610.0925010757185,960.0397639904093,561.889278697115,4637.795695999637,20188.907267078757,322764.1442495957,47357.173750916496,11363.636846542358,197336.79304618106,386479.3212303269,4085662.638325654,7659.302998082311,140.47776289380732,58055.3506613197,562528.9697794034,13370.703280047841,19966.007576975888,13370.703280047841,26237.62332316443,,,102856.45142,211933.17877865798,2366185.810298085,3589.7285610693507,425220.44077772275,236.79040620738988,5453.4189329165965,139993.44284229475,72882.86932194646,2617352.62621609,,112987.00119671255,5342.59126764713,443.1616867823481,7359.412652012415,8672.110431078878,1186360.3714654862,182608.9135828691,2647.0099093057192,86069.36242801312,49.70374855476629,1194.7261763150584,20655.51480566981,651629.6682755661,1052.2555836516844,,,280023.13684988534,,,,,,3903.6069573957457,4047.2058736577746,5487.1875355747125,-5181.229139645042,5808.934330803363,94193.69314897868,28090.064225131013,1677.3468083363705,404557.9167762836,,2345.89078695075,43090.859274583614,12931.815802435725,1932400.7749756426,831918.86630163,0,35248800.602271825,571806.3987747164,2760.436231590375,28499.94469273977,6133.974013715971,3995.429381328688,486.9380723351079,5290.163270738735,8632.759588404751,521.4852094628392,3235.710572204537,171.3743591096959,216.40321435188747,91.67939204695885,352533.22554355353,649.8636986760698,,363392.8100605694,32315.800720884625,0,0,3174.0889852035266,2719.556283632931,0,0.0,248.4699893538065,0,0,11250.187869263873,0,488.1278470806308,1428003.847514392,9017436.827799162,19903.495609905713,76581.96469901215,,16887.358302331064,93483.40336716932,,215419.91417706385
2021-12-10,897952.0622056084,220.32677351712525,1157.0950060854857,845.931770333514,3444.602358000353,16678.689002111554,299533.1964215338,71444.1444001915,12248.44180677156,196949.84018941867,408116.96307016746,4285835.838596067,5782.764630223132,262.47650639317635,52327.62497121385,458672.09451431426,11751.179269960281,19920.59857656954,11751.179269960281,23448.349134532877,,,108225.17978,205540.8373182714,165761.02410216257,3491.2267424331512,391327.37923928257,43.26588875819789,4791.512829003856,111859.08083425916,69054.40258562127,1690584.37303984,,98073.63224207766,6094.322409790677,566.8674073874803,5251.675634768394,7259.5108647420475,1133879.215457494,160466.10639184725,2282.891856142064,100549.74227981741,49.424501440787196,818.9059464862137,14604.02264327724,663947.9724588778,338.87309056582694,,,278319.5872368567,,,,,,65038.74610893099,26817.4240250445,5487.1875355747125,501800.9755644567,5762.596307527585,114086.51229489941,11771.313929291486,1121.4113145967117,373520.81049192295,,2146.5257695255236,85534.9988573623,12410.427086248888,1554363.758571531,633870.426536934,0,37343967.70533752,555995.7602096999,2631.643943205587,36660.009865567976,2918.872450518617,2006.2310290601456,611.768782080788,4807.899189623739,8426.679584929043,507.6871455698832,7951.440080675911,202.5982110688819,202.44951217220634,44.223502753149795,313090.77729724185,557.9503139346127,,330932.4474390175,5705.500625244582,0,0,2548.9881315050534,1705.9309123619194,0,18.18217707480457,263.24456913414735,0,0,6057.750520836896,0,557.3774388929907,1399310.284343956,10071605.235186301,31528.960478874156,81320.87152245438,,20490.2942853095,90582.79512590605,,190684.38428341225
