,compound,swapr-ethereum,swapr-xdai,swapr-arbitrum,polymarket,balancer-v1,balancerv2,balancerv2-polygon,balancerv2-arbitrum,pangolin,maker,bsc,polkadot,kusama,liquity,curve-ethereum,curve-arbitrum,curve-polygon,curve-avalanche,curve-fantom,curve-xdai,curve-optimism,osmosis,solana,abracadabra-ethereum,abracadabra-fantom,abracadabra-avalanche,abracadabra-bsc,abracadabra-arbitrum-one,polygon-pos,terra-tx-fees,terra-swap-fees,velodrome,arbitrum-one,hop-optimism,hop-gnosis-chain,hop-arbitrum,hop-polygon,sushiswap-ethereum,sushiswap-polygon,sushiswap-fantom,sushiswap-arbitrum-one,sushiswap-avalanche,sushiswap-binance,aave-v1,aave-v2,aave-v2-amm,aave-v2-polygon-proto,aave-v3-polygon-proto,aave-v2-avalanche-proto,aave-v3-avalanche-proto,aave-v3-optimism-proto,aave-v3-arbitrum-proto,aave-v3-fantom-proto,aave-v3-harmony-proto,synthetix-ethereum,synthetix-optimism,synthetix-optimism-futures,ribbon,near,optimism,gnosis-chain,honeyswap,quickswap,evmos,eos,fantom,ren,trader-joe,terraswap,lyra,eth,btc,ltc,ada,xtz,bsv,bch,xrp,doge,xmr,xlm,dcr,etc,avalanche-p-chain,avalanche-c-chain,avalanche-x-chain,mycelium-arbitrum,spookyswap,kyberswap-ethereum,kyberswap-arbitrum-one,kyberswap-aurora,kyberswap-avalanche,kyberswap-binance,kyberswap-bittorrent,kyberswap-cronos,kyberswap-fantom,kyberswap-oasis,kyberswap-optimism,kyberswap-polygon,kyberswap-velas,uniswap-v1,uniswap-v2,uniswap-v3,uniswap-optimism,uniswap-arbitrum,uniswap-polygon,tornado-ethereum,gmx-arbitrum,gmx-avax,ens
2021-10-01,954482.9332513241,175.10626198215337,306.30301784733985,4165.4184094711345,9149.587409999687,25097.158924996853,457831.05935353413,26111.935735323,6382.644600092142,143959.22731612297,132775.42245877217,1776328.6114783627,4529.263474261463,74.96747617922942,16127.46730032047,323819.9432593878,7491.814436372831,12527.548138127948,7491.814436372831,14105.069529140446,,,38681.13731,3552.043995760959,35295.760139704216,1193.2973915642215,56457.00479168702,,5391.208452896681,24880.48158792349,51408.871792813225,81393.125383149,,120837.4137995361,4409.006597286837,392.74827000000005,5651.463052000006,4409.673080999986,1142601.3488436241,85516.41832315338,1673.7443497645893,22037.679568442793,281.3933954654779,1219.7563960492287,25681.25106829377,1178711.522051878,254.47000120827934,,,,,,,,,17921.810850219037,5173.938658957311,3066.0115467420374,20900.036809585807,1890.3315121157332,,7014.36575548625,1050.9621942668603,241016.1327338232,,1280.8384456666838,30630.96068548513,30930.99469972817,614782.1747151142,188892.291250557,0.0,29992546.02288139,784068.410991992,2814.3726724724834,42456.68875103071,4192.102831038129,13181.224815913023,721.3596369862445,1634.7351697769848,9880.679198365966,1238.2690740166274,226.61320491831304,291.0493825527774,304.1180240594997,34.96325810812159,70872.11396602054,294.3494218254655,,126437.58522845664,27498.955579572445,0.0,0.0,3120.1623187350833,7964.0789503765,0.0,0.0,0.0,0.0,0.0,520.5684682591896,0.0,1011.2723123657603,970468.8664676686,2223443.541123405,,37801.574442866084,,18335.595299317036,52772.303776561464,,62153.36749114096
2021-10-02,934082.7015799918,179.97129650745183,209.38164196137535,3427.3002972587774,2106.048512000125,22150.707114100456,358596.0080666747,19467.063965750393,2694.1901473175676,124209.87634675916,134807.06424750923,1945629.6268891671,4463.790254435005,75.41385419480771,6021.824739607051,198912.30126853206,4870.269116235801,5756.948778580873,4870.269116235801,6816.960738506193,,,30727.38403,11875.12995369944,50795.913441938814,2433.750328030532,2441.898672163792,,16090.262975137739,21191.115916303406,50907.040644960995,102210.948252438,,86758.23839825165,4184.002112118995,191.33234900000025,4910.721373000008,4127.663470000029,785515.9017837837,61629.16759403321,1584.4739842001657,16770.365613710852,192.51683265868408,1785.838358665482,22069.436727340966,1319295.221996516,171.58447509712525,,,,,,,,,8237.391079691473,5173.938658957311,3066.0115467420374,0.0,2382.9615753116914,,12232.457226541386,1130.0714138439373,154070.70990249378,,1400.8009270765663,31581.321992301364,30457.811976703313,485145.11754315376,137739.9186288,0.0,22782494.419814374,522461.04720750335,2658.3478600272556,35170.25529680349,4762.7542768101985,8868.349427020392,680.8859595890133,1531.2510798546434,10227.36113806609,836.3795374856223,322.45472652526183,268.6507275428274,423.9713060450751,24.7218110326253,70028.44147802153,247.77198696687466,,104234.60877796274,16501.71660943114,0.0,0.0,2007.8650897485377,7362.647878708646,0.0,0.0,0.0,0.0,0.0,397.2307987369538,0.0,2425.9476916704743,865872.1171646545,1889407.137466005,,41498.64895705551,,13050.950435404666,32257.705779655123,,67587.09396442026
2021-10-03,818588.1872769534,143.91080817108846,111.44769615414383,1913.7407979232278,12728.720174999908,14244.510118469596,91095.21229197085,16823.021998333745,4548.2626980080095,90095.57397927645,135870.5434345294,1947221.4427660257,4084.1193058239405,85.0308832096608,73431.81606864392,266349.0557588071,3541.493289021923,6226.511838456004,3541.493289021923,7558.685345175084,,,75324.18792,159385.11307296852,231401.5913723535,2836.87600929333,3496.552060290822,,41660.653807048686,20773.293396326015,52644.07410579786,196784.828540654,,74982.0625445916,4655.59762418557,72.99406900000031,135.96606199999223,877.4726539999829,754357.2850426617,48908.42876784954,1090.003887144131,16961.512419708666,138.23885257371396,934.3440838791099,23079.104798465363,1286636.7860004562,2.814320948231842,,,,,,,,,22035.571602315555,5173.938658957311,3066.0115467420374,0.0,2547.6581035633653,,11739.628832790915,669.3414060469584,145491.96761652408,,1356.9031158849502,35043.46636896781,73045.1941078016,416458.2202719029,219548.696688408,0.0,21630650.323938016,491281.86304702633,2504.1818127573847,41518.84386194317,8961.14115154819,8790.931479959994,663.7202200132697,1339.2474706364915,9223.19844140956,871.9573009837427,338.7289072150934,285.776098616777,281.7383241502415,31.89312610153832,95474.09049725985,281.69482032297714,,104788.2063596622,12669.758000533928,0.0,0.0,1197.1149488858666,4947.082258584484,0.0,0.0,0.0,0.0,0.0,398.8879670096387,0.0,1412.192410415681,741915.4412918234,1863413.8254569883,,65106.07749672012,,12422.04618167039,22161.14864678927,,57578.76162332855
2021-10-04,799959.876225602,182.00798313177134,249.79487205452173,2174.2900049699488,6469.233326999936,23571.634785339236,96059.30264442228,22494.784542963374,4344.638307588888,119926.42403350398,137440.74453531305,2064270.5794136322,3940.90877245564,79.27190406830343,11897.542174044776,249453.7323481333,4886.180950733123,9762.212855460426,4886.180950733123,9603.940460938824,,,66296.8607,158568.50109496518,134107.07462421805,2505.174392078072,8240.120455355573,,2973.2505210998934,27733.197599722058,66396.3409157784,199402.969008331,,94476.00130256108,4399.072605502268,3.3424529999992956,606.6295610000088,235.278129000013,1208764.5509724054,62178.03798741212,1817.8944121938225,28232.211443874618,160.6888347261302,988.8613445099678,18570.752564211445,1219246.3081505662,772.6781186045155,,,0.0,,,,,,14034.345791337151,5173.938658957311,3066.0115467420374,0.0,2772.861146835298,,12843.922888474895,595.9215011260766,195216.06393861867,,1479.4896268080868,54779.43753305798,43804.08503172054,628036.9323947338,295552.228417821,0.0,35412439.38975921,666482.7058826403,2489.9316203715643,43295.02687414095,6219.948355397873,11040.646507966641,656.3707977855112,1447.9756439535215,12576.645683984489,1021.5395252332805,327.0280048553198,331.9511927902912,298.40675078959885,28.209272483696537,144356.32162473895,283.2721345178241,,151580.24616596696,10888.163749477171,0.0,0.0,4196.7314891611495,7677.285726570295,0.0,0.0,0.0,0.0,0.0,499.18402467107126,0.0,690.2864925363639,1002920.5379087799,2442115.51817771,,64938.43793407486,,16715.39381942898,55240.757171203084,,57810.3210423179
2021-10-05,787041.227286789,232.22556627695707,112.20733083801315,1671.8926984005516,5505.725150000304,19137.563296288252,50973.696826005355,18687.740803937428,7603.242014212476,128871.06266393224,139343.50433926992,2164365.2789448644,4357.014361987852,79.45442316309594,19491.9839350041,284905.8987870787,4932.0360586456445,13441.916529181892,5016.357914886014,35013.58752690528,,,46604.52847,156482.77525209825,182250.27568301652,4788.589709051201,3832.520044520992,,100046.8125289653,27655.332828721217,81317.79985512121,182393.553066807,,106528.58196704031,2974.89171825992,41.6944110000004,387.5512170000002,360.7978229999717,1291565.4385586185,53037.271187579696,6750.509177610772,25116.279622893402,111.25469755189295,2697.7712330737595,34198.5999784061,1476628.1030015906,199.20319477517532,,,96890.68624952954,,,,,,38826.39163880951,5173.938658957311,3066.0115467420374,0.0,2808.9624156525315,,8409.099331579988,608.6652391256127,159350.45922912724,,1465.2502396416933,45220.22747847089,49271.06869927343,740052.3292646863,199656.885426141,0.0,48398566.761223465,777689.660326489,3275.7030102908084,33732.75483107909,6676.1036557391235,7872.104537247799,760.1113221039946,2020.8257085768364,15472.679982374206,1190.3857783246763,178.670712025187,198.14795999014,384.90660718991825,31.582848049456587,434157.60699899896,334.11912575957143,,155439.39418855842,3274.489199451899,0.0,0.0,3186.511601553455,5017.413882981468,0.0,0.0,,0.0,0.0,316.85645168980415,0.0,1009.9520024539552,1124585.46886239,2412471.538772979,,99929.32902916643,,17796.048623321112,42307.11738476503,,51820.1993905697
2021-10-06,862516.2988828482,300.4414728110046,447.5678208244656,1278.4266433312928,3963.6989730000496,24958.158537477255,181631.47025735304,27641.253014334012,16560.76581346216,160803.00317375408,142800.04874213808,2362215.396442129,4717.296227535451,90.639564622676,12634.555376801414,377333.32665122475,14043.523461707478,11133.1343692557,14043.523461707478,50195.995864969234,,,54871.809,153933.48500353805,305332.3936750768,5803.244689047773,2675.0034485566866,,2279.053569562384,41759.43674045367,140475.81622563902,221108.471908108,,117056.01440308972,4486.888027615827,159.05222100000174,341.1847279999929,570.5077050000255,1643892.7427895844,78210.51024641095,2739.251971595533,37683.68604691836,78.55815120779023,2296.274229796232,24990.37115358352,1521702.5700871435,755.1848757741254,,,94067.05645799545,,,,,,86027.99447507813,5173.938658957311,3066.0115467420374,,2701.366415814908,,11295.461222381045,1033.5586282366187,222584.97645332856,,1502.1160935142543,132412.9705600127,55185.39910664573,899563.9494917033,349924.15812330606,,53961949.16836706,1053791.0606550865,3698.814634872163,41545.03362581616,6692.121751235739,10686.559681636298,756.2963401861957,1852.1007997423899,15889.482592968228,1266.5977159756194,424.017814204975,331.706385898203,358.9984196431741,21.48917499999935,100855.3250984558,266.109774631016,,309049.94803610153,8301.578917898865,,,4236.950475748874,9127.3116042147,,,,,,2077.421968067048,,468.82687473249183,1290890.1044073289,2824872.089395505,,84888.05345740075,,26909.63094261987,69474.2366774047,,40499.322295239195
2021-10-07,885845.0927419739,351.75969571479123,366.500669568212,2289.72732825557,2151.799354999792,17918.673401623964,114454.19954067655,28098.69865419576,7905.758478344869,126815.39638161859,145988.23841623586,2757717.575488944,5504.840694730252,93.85707671548813,4306.733236335878,383024.5611443797,6925.642582248706,11358.725524631214,6925.642582248706,33880.86288986688,,,48974.89006,152484.18146817287,77170.30561443651,20010.72903883386,3553.4424218720233,,22036.04763520218,34918.81090238586,130392.49693495163,402985.787451833,,125032.82790407412,3328.6714513823495,210.94448099999863,1989.3637109999981,1437.1967069999664,1380866.379129972,69205.90532720515,7532.855405384974,44157.04125702318,170.48066276879803,3325.2155406212737,26871.92705952354,1689350.7910997544,180.2742321481142,,,99624.70110415119,,,,,,30880.845698428322,5173.938658957311,3066.0115467420374,0.0,2411.5083392921224,,9430.765227367285,897.0904293510227,237781.53229519358,,1515.6957300331392,246397.45606155667,101505.01021609014,719352.2664440995,289222.300055271,0.0,52925259.33580427,1424977.8272630258,3435.764197847851,30951.882598010106,4513.395065470215,11373.798805988074,711.5305856814509,2053.9816017865855,15425.248160546553,1372.9761515707007,187.36120622101976,349.22588645345917,461.9601221061727,20.68291071500845,74717.5928506063,223.49568520299252,,630719.1276756411,3904.54419695834,0.0,0.0,2421.8646898488005,8272.546135694141,0.0,0.0,0.0,0.0,0.0,1196.053547909937,0.0,376.7044793688141,1721468.5333606324,3474505.4449444087,,61293.2912993967,,14420.848610576242,47650.21848226274,,41370.23536734842
2021-10-08,838153.4160492176,152.3670059019704,166.18801352676977,700.4763574186269,4630.965230000205,23489.605754747987,158129.41863545775,25586.766423395835,19799.808417454653,116508.40311183227,147244.5915562335,2378600.3526580674,4636.622455722062,77.35152166921029,57102.43292333372,376009.19973167445,7770.4530391806165,18080.764310528986,7770.4530391806165,28611.60620394178,,,50370.52,166928.5436877566,238551.37025967985,39395.51877497317,56185.882749359225,,43016.91703976627,34832.6824957078,105058.44619985098,417408.760465124,,123917.58881843861,4074.4888785277685,22.75996600000144,6141.152954000005,576.5623310000228,1117215.8195940086,67015.85008143321,5535.6074843476135,39232.00359934508,125.46398594377983,2048.9773868391508,25289.225474605173,1246728.1252761583,252.31901270874647,,,140530.23491486604,,,,,,102066.70187694485,5173.938658957311,3066.0115467420374,22078.87550414977,2129.2818001352052,,5404.63358353856,559.4302247597553,215262.39157136116,,1494.197509751445,162787.86871694913,14699.509468849563,670941.9116578898,169060.66885249803,0.0,46625909.95319256,1096590.414547335,2968.373538320606,40002.215180001316,7282.825354764454,7531.298492778739,771.8550392844086,1592.1424280995097,12731.276996435023,1010.3673077470746,201.75643456163675,343.06866377884046,352.7051912783936,21.189154933112032,79097.00331545674,235.94459869179133,,605865.620625985,7050.405257163786,0.0,0.0,3235.8444639219792,10486.247244000211,0.0,0.0,0.0,0.0,0.0,1432.189570984484,0.0,301.6794082154087,990371.8737766889,2797229.855243472,,59714.50387182289,,17801.695540160872,30834.04018271928,,56447.18437341042
2021-10-09,712348.7051082669,60.543055461502036,242.33083495497166,603.6893927579481,1328.1032389998436,10175.828312933445,283929.09407988936,11831.66081486689,5548.215715796367,59797.65677694422,148823.48005264875,2141242.563192356,5011.449727877504,72.49205822403285,18569.70830287603,283155.665573522,6212.164606618921,9695.642019223338,6212.164606618921,17209.048406159953,,,65484.48833,176754.89927657816,138383.4812035747,14384.108064696513,3771.5112173325033,,198310.6110538225,26059.114571578455,87816.30419321748,188981.515895496,,132463.3934571782,6986.538938141633,26.20415899999898,6253.2566240000015,1328.7283549999993,862909.5167199598,38376.06673659332,6247.597945673945,36537.68778066392,119.48841984011348,2836.3426180090487,22482.69749791552,1069158.6296085215,943.1637693407226,,,164682.01224274846,,,,,,9162.711660972547,5173.938658957311,3066.0115467420374,0.0,2075.9138854408484,,5265.485103004324,1192.6761879148946,115491.50623912798,,1499.1791352890123,96345.0476782667,21651.664297144496,406790.6055356991,138098.579775285,0.0,28842245.771927092,808933.1301538699,2924.7000298734733,36983.82386578012,2860.8362743988887,6401.769053538479,761.7675172579903,1772.5363166896857,12399.827214276971,720.7049987541242,331.1700730092925,337.6290761555934,335.68803976646296,18.80348362310846,57506.21978383113,211.2920936995383,,328406.52378491184,2072.9783994809472,0.0,0.0,2348.110914076191,4400.0133374586,0.0,0.0,,0.0,0.0,1146.44725358314,0.0,1077.7737815364587,837521.8162328036,2111954.9514185656,,25820.22694807847,,11472.53503060015,20991.68452774103,,94296.20521768741
2021-10-10,701852.586346324,248.20492078069978,126.01809009116505,783.2018518668423,6143.169519999996,22160.810816928744,155040.22710984014,14733.94533460401,14848.909346595115,76309.43936759833,150312.4270047939,2313800.564338714,5461.631582170247,72.66472621221214,35923.01041425102,354904.03769120754,8774.147715330346,6587.975280276311,8774.147715330346,32268.248739194572,,,56035.49623,172362.56451586485,74083.74365087971,10744.136103106313,4990.885028250108,,2977.9434411245165,31327.541487108083,103629.26346222019,78520.007275972,,129646.63172497459,9186.627729743246,702.1857129999989,5124.750502999988,6142.152320999972,1389999.7079133533,46205.579975073204,8263.192624628255,65313.9139665595,62.268767361541684,6466.80766158138,19407.198256190644,1171669.507306008,295.33489261082354,,,163899.89909176284,,,,,,12692.13793761374,5173.938658957311,3066.0115467420374,,1569.5374940117078,,4554.556825197641,570.2901106401191,142121.4008114337,,1608.8085276044699,104940.63997734635,14326.723623270116,595666.0227960257,231203.378154789,,29692387.669913404,705160.0688237057,2912.9153386347034,32158.131184960566,12369.455328230293,8674.269918771315,725.4318513403458,2128.8268562571716,11682.282799110948,1509.9832837493402,156.08489815577073,257.9442669079405,294.26405054047456,28.785605866833624,86161.57740329637,309.5882782350304,,300577.08291042264,5952.7900635981805,,,2207.6389849775105,9137.782857006707,,,,,,377.92937308895864,,520.2220675476303,1027817.8243219759,2275524.0118135833,,32695.349888046137,,16339.102288051508,52651.2619663564,,61380.02614849433
